strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,avg_pages_up,avg_pages_down,avg_pages_neutral,efficiency,files_analyzed
Mixed Candidates,Range_35-65,35,65,1000,2.198,781.9,618.6,,0.04396,
Low Candidates,Range_35-65,35,65,1000,2.154,808.8,586.4,,0.04308,
High Candidates,Range_35-65,35,65,1000,2.1366,814.7,563.4,,0.04273,
Folder Candidates,Range_35-65,35,65,1000,2.121,1123.5,419.9,,0.04242,
Random Candidates,Range_35-65,35,65,1000,2.0426,1020.6,430.8,,0.04085,
Mixed Candidates,Range_5-35,5,35,1000,1.592,696.5,576.1,,0.0796,
Low Candidates,Range_5-35,5,35,1000,1.5485,737.2,527.6,,0.07743,
High Candidates,Range_5-35,5,35,1000,1.532,750.5,492.2,,0.0766,
Folder Candidates,Range_5-35,5,35,1000,1.5169,1166.1,334.1,,0.07585,
Random Candidates,Range_5-35,5,35,1000,1.4357,1039,319.1,,0.07178,
Mixed Candidates,Range_65-95,65,95,1000,2.7053,798.4,692.2,,0.03382,
Low Candidates,Range_65-95,65,95,1000,2.6607,819.9,666.6,,0.03326,
High Candidates,Range_65-95,65,95,1000,2.6424,820.8,654.4,,0.03303,
Folder Candidates,Range_65-95,65,95,1000,2.6338,1076.6,504.5,,0.03292,
Random Candidates,Range_65-95,65,95,1000,2.5513,967.2,545.3,,0.03189,
