Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_high_updated_link_graph_6,Range_35-65,35,65,240,1.9015218611128768,0.6810098059603669,0.007923007754636986,0.0028375408581681953,0.6090936428700306,831.35,506.37,503.28,1841,7.7768288095792135
240_high_updated_link_graph_8,Range_35-65,35,65,240,1.8948602231655527,0.6810144743317293,0.007895250929856469,0.002837560309715539,0.6117007131633023,827.3,506.06,507.64,1841,7.513320195674896
240_high_updated_link_graph_5,Range_35-65,35,65,240,1.8935250536720754,0.6807923127085728,0.007889687723633647,0.00283663463628572,0.6134815995363663,828.24,508.11,504.65,1841,7.761511250336965
240_high_updated_link_graph_10,Range_35-65,35,65,240,1.891943380277298,0.6807176373491642,0.007883097417822076,0.002836323488954851,0.5668108273724649,848.59,480.99,511.42,1841,7.600386774539947
240_high_updated_link_graph_4,Range_35-65,35,65,240,1.890234100016531,0.6809124969322711,0.007875975416735546,0.002837135403884463,0.5820549242424243,844.8,491.72,504.48,1841,7.382180790106456
240_high_updated_link_graph_9,Range_35-65,35,65,240,1.8840693662160117,0.6805985616987499,0.00785028902590005,0.0028358273404114577,0.5593345094694536,855.91,478.74,506.35,1841,7.555013732115428
240_high_updated_link_graph_3,Range_35-65,35,65,240,1.880226047887607,0.6805846317252049,0.007834275199531695,0.0028357692988550203,0.5507548576487582,858.44,472.79,509.77,1841,7.6429426352183025
240_high_updated_link_graph_7,Range_35-65,35,65,240,1.8624154431793576,0.6803848039386672,0.007760064346580656,0.00283493668307778,0.6354993821193917,817.31,519.4,504.29,1841,7.629544536272685
240_high_updated_link_graph_1,Range_35-65,35,65,240,1.8550577685262097,0.6815153768417861,0.007729407368859207,0.002839647403507442,0.6289822522764446,819.26,515.3,506.44,1841,7.507823793093364
240_high_updated_link_graph_2,Range_35-65,35,65,240,1.843354834360191,0.6808822797420399,0.007680645143167463,0.002837009498925166,0.6078216857620313,831.79,505.58,503.63,1841,7.737812829017639
