Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_low_updated_link_graph_6,Range_35-65,35,65,240,1.978688655765688,0.6804120967984271,0.008244536065690367,0.0028350504033267795,0.693190178693901,801.93,555.89,483.18,1841,7.234231825669607
240_low_updated_link_graph_1,Range_35-65,35,65,240,1.9239870903170593,0.6800160442733932,0.008016612876321081,0.002833400184472472,0.5944604622583542,846.28,503.08,491.64,1841,7.353113269805908
240_low_updated_link_graph_3,Range_35-65,35,65,240,1.9197309672937113,0.6802924541487226,0.007998879030390463,0.0028345518922863445,0.649524252134139,817.66,531.09,492.25,1841,7.221979792912801
240_low_updated_link_graph_10,Range_35-65,35,65,240,1.9124839712177553,0.6806079090413034,0.007968683213407313,0.0028358662876720978,0.6266982755508489,830.99,520.78,489.23,1841,7.316224964459737
240_low_updated_link_graph_4,Range_35-65,35,65,240,1.9060427508025415,0.6801508412964694,0.00794184479501059,0.0028339618387352894,0.5635224666115529,858.83,483.97,498.2,1841,7.303228469689687
240_low_updated_link_graph_2,Range_35-65,35,65,239,1.8887147373116644,0.6794846617439875,0.007902572122642948,0.002843032057506224,0.6227823232746744,834.77,519.88,486.35,1841,7.248257501920064
240_low_updated_link_graph_8,Range_35-65,35,65,240,1.8960195485765374,0.6800493831222202,0.007900081452402239,0.002833539096342584,0.5535765850052554,865.77,479.27,495.96,1841,7.256752725442251
240_low_updated_link_graph_5,Range_35-65,35,65,240,1.863837269498575,0.681016665101673,0.007765988622910729,0.0028375694379236377,0.6284140435835351,826.0,519.07,495.93,1841,7.141481995582581
240_low_updated_link_graph_9,Range_35-65,35,65,240,1.8579892525744435,0.6800955112968868,0.0077416218857268475,0.0028337312970703617,0.6158830530276618,831.83,512.31,496.86,1841,7.546729707717896
240_low_updated_link_graph_7,Range_35-65,35,65,240,1.856504027162302,0.6804996433233843,0.007735433446509591,0.0028354151805141015,0.6026803780142351,840.18,506.36,494.46,1841,7.249974266688029
