Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_mixed_updated_link_graph_7,Range_35-65,35,65,237,1.9684540953420466,0.6805730770507264,0.008305713482455892,0.0028716163588638245,0.6737355256210321,814.37,548.67,477.96,1841,7.431841178735097
240_mixed_updated_link_graph_8,Range_35-65,35,65,239,1.9842838573177604,0.6807551861197126,0.008302442917647533,0.0028483480590782958,0.6726981047604834,804.12,540.93,495.95,1841,7.404623719056447
240_mixed_updated_link_graph_2,Range_35-65,35,65,237,1.9590644468952934,0.6804087531067705,0.008266094712638368,0.0028709230088893273,0.672863279514146,810.12,545.1,485.78,1841,8.194880545139313
240_mixed_updated_link_graph_10,Range_35-65,35,65,237,1.9499759537125865,0.6812541971146764,0.008227746640137496,0.0028744902831842885,0.7161646267994165,788.45,564.66,487.89,1841,7.596170318126679
240_mixed_updated_link_graph_9,Range_35-65,35,65,240,1.9726974788162928,0.6818636187191698,0.00821957282840122,0.002841098411329874,0.7484343994021082,776.06,580.83,484.11,1841,7.416217962900798
240_mixed_updated_link_graph_5,Range_35-65,35,65,238,1.9468654850886877,0.6804620493921052,0.008180107080204571,0.002859084241143299,0.6316201063548209,831.18,524.99,484.83,1841,7.783218995730082
240_mixed_updated_link_graph_4,Range_35-65,35,65,239,1.9419090858498873,0.6801554221930435,0.008125142618618776,0.0028458385865817717,0.6323401268335189,826.28,522.49,492.23,1841,7.489108320077261
240_mixed_updated_link_graph_1,Range_35-65,35,65,239,1.9397153228797732,0.6807362533177088,0.008115963694057628,0.0028482688423335095,0.6557981705517851,813.36,533.4,494.24,1841,7.784391884009043
240_mixed_updated_link_graph_6,Range_35-65,35,65,239,1.9270380771632802,0.6805453636827263,0.008062920824950963,0.0028474701409319093,0.6686698469735456,807.05,539.65,494.3,1841,7.474564405282338
240_mixed_updated_link_graph_3,Range_35-65,35,65,239,1.9013255173707448,0.6808982628025122,0.007955336892764623,0.0028489467062866617,0.619725883351058,836.87,518.63,485.5,1841,8.112671275933584
