Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_folder_updated_link_graph_7,Range_5-35,5,35,224,1.3928590577955746,0.5935714442499593,0.006218120793730244,0.0026498725189730327,0.17399917394563338,1307.42,227.49,306.09,1841,7.679840056101481
240_folder_updated_link_graph_4,Range_5-35,5,35,228,1.4018620026651922,0.592869093042209,0.0061485175555490885,0.0026003030396588114,0.1613850030935458,1325.34,213.89,301.77,1841,7.8763569593429565
240_folder_updated_link_graph_5,Range_5-35,5,35,226,1.3701405739707548,0.5931239713297218,0.006062568911375021,0.0026244423510164683,0.17638428267946388,1308.62,230.82,301.56,1841,8.154677005608876
240_folder_updated_link_graph_9,Range_5-35,5,35,227,1.3168996294474815,0.592212435036639,0.005801319953513134,0.002608865352584313,0.22457800021651692,1200.83,269.68,370.49,1841,8.191958669821421
240_folder_updated_link_graph_8,Range_5-35,5,35,226,1.3065744912416983,0.5924740370743627,0.005781303058591585,0.0026215665357272686,0.23907170716058554,1184.54,283.19,373.27,1841,8.19027769168218
240_folder_updated_link_graph_1,Range_5-35,5,35,232,1.3218376871421103,0.593284990003645,0.00569757623768151,0.0025572628879467455,0.1965790565019053,1278.01,251.23,311.76,1841,7.930242701371511
240_folder_updated_link_graph_10,Range_5-35,5,35,224,1.2613671748142752,0.5921419697698674,0.0056311034589923,0.0026434909364726226,0.18720533893985727,1255.68,235.07,350.25,1841,7.783918265501658
240_folder_updated_link_graph_3,Range_5-35,5,35,230,1.2740019650309995,0.5924183209913065,0.00553913897839565,0.002575731830396985,0.20719045154612498,1236.64,256.22,348.14,1841,8.095133483409882
240_folder_updated_link_graph_2,Range_5-35,5,35,232,1.2626532173544325,0.5926968279170874,0.005442470764458761,0.00255472770653917,0.21578547318006097,1223.53,264.02,353.45,1841,8.652900246779124
240_folder_updated_link_graph_6,Range_5-35,5,35,234,1.234234868893562,0.5923799736129309,0.005274507986724624,0.002531538348773209,0.21174669951464653,1221.79,258.71,360.5,1841,7.962269965807597
