Comparison,Range,Min_Conn,Max_Conn,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral,Total_Pages,Duration_m
240_random_updated_link_graph_6,Range_5-35,5,35,237,1.2897824238225195,0.5926091717864651,0.005442119931740589,0.00250046064044922,0.19554869870878955,1140.79,223.08,477.13,1841,8.054705806573232
240_random_updated_link_graph_4,Range_5-35,5,35,235,1.250088300208137,0.5922311578560113,0.005319524681736754,0.002520132586621325,0.20242664466604493,1115.12,225.73,500.15,1841,8.064902853965759
240_random_updated_link_graph_8,Range_5-35,5,35,235,1.2429990965693836,0.5926522389281011,0.005289357857742058,0.0025219244209706434,0.15753407465046812,1195.17,188.28,457.55,1841,7.463299330075582
240_random_updated_link_graph_1,Range_5-35,5,35,238,1.2460858993034076,0.5926682756074462,0.005235655039089948,0.0024902028386867485,0.20965154620800286,1122.1,235.25,483.65,1841,7.987417995929718
240_random_updated_link_graph_10,Range_5-35,5,35,235,1.2300235866622407,0.593439138287622,0.005234142921966982,0.0025252729288834977,0.21684312182559554,1118.32,242.5,480.18,1841,7.871619999408722
240_random_updated_link_graph_2,Range_5-35,5,35,236,1.2315941307945328,0.5922271021819949,0.0052186191982819185,0.002509436873652521,0.18878980891719743,1138.25,214.89,487.86,1841,7.930697357654571
240_random_updated_link_graph_3,Range_5-35,5,35,240,1.2307304526130853,0.5925928350779494,0.005128043552554523,0.002469136812824789,0.1943330336767858,1156.88,224.82,459.3,1841,8.036935182412465
240_random_updated_link_graph_9,Range_5-35,5,35,240,1.2040727902096124,0.5917759108634736,0.005016969959206719,0.0024657329619311398,0.1747645658698127,1159.56,202.65,478.79,1841,7.767103087902069
240_random_updated_link_graph_7,Range_5-35,5,35,238,1.1863203332663153,0.5905187598022404,0.004984539215404686,0.0024811712596732793,0.20718402998797653,1131.12,234.35,475.53,1841,7.52634102900823
240_random_updated_link_graph_5,Range_5-35,5,35,236,1.1340734547925941,0.5913087698695865,0.004805395994883874,0.0025055456350406204,0.23701867521526823,1073.08,254.34,513.58,1841,7.544029005368551
