Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_high_updated_link_graph_8,240,1,2.0488889940272674,888,497,456,1841,0.008537037475113614
240_high_updated_link_graph_8,240,2,2.5567711603399994,1103,310,428,1841,0.01065321316808333
240_high_updated_link_graph_8,240,3,1.8746627538290817,534,1005,302,1841,0.007811094807621173
240_high_updated_link_graph_8,240,4,3.2914709424423503,1189,332,320,1841,0.013714462260176459
240_high_updated_link_graph_8,240,5,1.7808255955423653,653,631,557,1841,0.007420106648093189
240_high_updated_link_graph_8,240,6,1.528013859210541,631,731,479,1841,0.006366724413377254
240_high_updated_link_graph_8,240,7,2.840994052417429,986,369,486,1841,0.011837475218405953
240_high_updated_link_graph_8,240,8,2.2644715634909773,1094,343,404,1841,0.009435298181212406
240_high_updated_link_graph_8,240,9,2.3686008517791777,994,375,472,1841,0.009869170215746573
240_high_updated_link_graph_8,240,10,2.1125699008286047,831,506,504,1841,0.008802374586785853
240_high_updated_link_graph_8,240,11,1.262231746340316,1012,438,391,1841,0.00525929894308465
240_high_updated_link_graph_8,240,12,3.779421714432464,1277,274,290,1841,0.015747590476801934
240_high_updated_link_graph_8,240,13,2.618685045675846,987,429,425,1841,0.010911187690316024
240_high_updated_link_graph_8,240,14,2.739593423075393,615,810,416,1841,0.01141497259614747
240_high_updated_link_graph_8,240,15,3.2328826719949864,929,487,425,1841,0.013470344466645776
240_high_updated_link_graph_8,240,16,2.224883402937564,749,525,567,1841,0.00927034751223985
240_high_updated_link_graph_8,240,17,2.5809983642157226,758,695,388,1841,0.010754159850898844
240_high_updated_link_graph_8,240,18,2.6201949810663807,893,491,457,1841,0.010917479087776587
240_high_updated_link_graph_8,240,19,2.4162635134012276,1044,411,386,1841,0.010067764639171781
240_high_updated_link_graph_8,240,20,1.518496271415051,767,582,492,1841,0.0063270677975627125
240_high_updated_link_graph_8,240,21,1.8144703333817254,704,623,514,1841,0.007560293055757189
240_high_updated_link_graph_8,240,22,2.16162290014591,616,792,433,1841,0.009006762083941293
240_high_updated_link_graph_8,240,23,3.2988425424721277,1115,381,345,1841,0.013745177260300532
240_high_updated_link_graph_8,240,24,2.6876934842537006,972,385,484,1841,0.011198722851057085
240_high_updated_link_graph_8,240,25,2.2664696942685123,853,501,487,1841,0.0094436237261188
240_high_updated_link_graph_8,240,26,2.206808690560235,760,590,491,1841,0.009195036210667645
240_high_updated_link_graph_8,240,27,3.6522880769466783,1190,350,301,1841,0.015217866987277827
240_high_updated_link_graph_8,240,28,2.7866852461661153,899,498,444,1841,0.011611188525692148
240_high_updated_link_graph_8,240,29,1.982319106130759,772,598,471,1841,0.008259662942211496
240_high_updated_link_graph_8,240,30,2.34240930161787,936,446,459,1841,0.009760038756741125
240_high_updated_link_graph_8,240,31,2.073132818077605,893,480,468,1841,0.008638053408656688
240_high_updated_link_graph_8,240,32,3.162125630298879,768,597,476,1841,0.013175523459578663
240_high_updated_link_graph_8,240,33,1.6193806790765528,933,438,470,1841,0.006747419496152303
240_high_updated_link_graph_8,240,34,2.1635498952988694,936,399,506,1841,0.009014791230411956
240_high_updated_link_graph_8,240,35,2.504215501938449,1098,310,433,1841,0.010434231258076871
240_high_updated_link_graph_8,240,36,2.172493729930498,737,767,337,1841,0.009052057208043742
240_high_updated_link_graph_8,240,37,1.69263250821284,764,467,610,1841,0.007052635450886833
240_high_updated_link_graph_8,240,38,3.3954251023426796,908,503,430,1841,0.014147604593094498
240_high_updated_link_graph_8,240,39,2.8185997879244793,999,458,384,1841,0.011744165783018663
240_high_updated_link_graph_8,240,40,3.1906145978449496,1151,322,368,1841,0.013294227491020624
240_high_updated_link_graph_8,240,41,2.8259408709624028,999,379,463,1841,0.011774753629010011
240_high_updated_link_graph_8,240,42,1.6698076971682305,880,402,559,1841,0.006957532071534294
240_high_updated_link_graph_8,240,43,1.7539895478856606,942,454,445,1841,0.007308289782856919
240_high_updated_link_graph_8,240,44,3.0545496799957643,1079,346,416,1841,0.012727290333315685
240_high_updated_link_graph_8,240,45,1.945429655355567,628,758,455,1841,0.008105956897314862
240_high_updated_link_graph_8,240,46,2.763045969882654,852,455,534,1841,0.011512691541177726
240_high_updated_link_graph_8,240,47,1.6429352446340824,492,933,416,1841,0.006845563519308677
240_high_updated_link_graph_8,240,48,0.7868292262640074,446,1159,236,1841,0.0032784551094333643
240_high_updated_link_graph_8,240,49,0.8712353094916739,603,661,577,1841,0.003630147122881975
240_high_updated_link_graph_8,240,50,2.8380293742445954,745,712,384,1841,0.011825122392685815
240_high_updated_link_graph_8,240,51,1.5255797875123582,534,1048,259,1841,0.0063565824479681595
240_high_updated_link_graph_8,240,52,3.5923410371194215,1222,325,294,1841,0.014968087654664257
240_high_updated_link_graph_8,240,53,1.0071321471132906,519,928,394,1841,0.0041963839463053775
240_high_updated_link_graph_8,240,54,1.2981591968852746,541,791,509,1841,0.005408996653688644
240_high_updated_link_graph_8,240,55,1.1969926789642298,439,1131,271,1841,0.004987469495684291
240_high_updated_link_graph_8,240,56,2.468824413771286,937,486,418,1841,0.01028676839071369
240_high_updated_link_graph_8,240,57,1.5382585157861794,502,1011,328,1841,0.006409410482442414
240_high_updated_link_graph_8,240,58,1.5177503891356,833,519,489,1841,0.006323959954731667
240_high_updated_link_graph_8,240,59,3.027509392352622,1122,353,366,1841,0.012614622468135927
240_high_updated_link_graph_8,240,60,1.6192057331755894,452,1036,353,1841,0.006746690554898289
240_high_updated_link_graph_8,240,61,2.2272636091595297,761,512,568,1841,0.009280265038164707
240_high_updated_link_graph_8,240,62,3.325415607748628,968,471,402,1841,0.013855898365619283
240_high_updated_link_graph_8,240,63,1.9356686259732792,659,699,483,1841,0.00806528594155533
240_high_updated_link_graph_8,240,64,2.7317326267773905,1122,368,351,1841,0.011382219278239127
240_high_updated_link_graph_8,240,65,2.149604184422521,625,864,352,1841,0.008956684101760504
240_high_updated_link_graph_8,240,66,1.443802575331021,511,974,356,1841,0.0060158440638792545
240_high_updated_link_graph_8,240,67,2.630852944130345,1088,316,437,1841,0.01096188726720977
240_high_updated_link_graph_8,240,68,2.9318767996241744,616,911,314,1841,0.012216153331767394
240_high_updated_link_graph_8,240,69,2.546698045126075,1188,273,380,1841,0.010611241854691979
240_high_updated_link_graph_8,240,70,1.884286316251612,535,881,425,1841,0.007851192984381717
240_high_updated_link_graph_8,240,71,3.179972612399942,1245,299,297,1841,0.013249885884999759
240_high_updated_link_graph_8,240,72,2.5968986533993625,734,714,393,1841,0.010820411055830677
240_high_updated_link_graph_8,240,73,2.813420958036869,991,451,399,1841,0.011722587325153622
240_high_updated_link_graph_8,240,74,2.667340788311772,993,414,434,1841,0.01111391995129905
240_high_updated_link_graph_8,240,75,2.6520201817767446,850,555,436,1841,0.011050084090736436
240_high_updated_link_graph_8,240,76,2.5316283867217186,842,484,515,1841,0.010548451611340494
240_high_updated_link_graph_8,240,77,2.5047396613764734,920,412,509,1841,0.010436415255735305
240_high_updated_link_graph_8,240,78,2.8807888682815497,796,625,420,1841,0.012003286951173123
240_high_updated_link_graph_8,240,79,3.3421312424330396,909,478,454,1841,0.013925546843470998
240_high_updated_link_graph_8,240,80,3.776411306498027,1402,261,178,1841,0.015735047110408445
240_high_updated_link_graph_8,240,81,1.870444075880932,899,481,461,1841,0.0077935169828372165
240_high_updated_link_graph_8,240,82,1.7188839456301352,502,1026,313,1841,0.007162016440125564
240_high_updated_link_graph_8,240,83,1.3774603380330974,774,556,511,1841,0.005739418075137906
240_high_updated_link_graph_8,240,84,2.075211596338468,722,692,427,1841,0.008646714984743616
240_high_updated_link_graph_8,240,85,3.1480436026306546,1272,245,324,1841,0.013116848344294394
240_high_updated_link_graph_8,240,86,2.4156547748906214,706,636,499,1841,0.010065228228710922
240_high_updated_link_graph_8,240,87,1.0660770375440198,492,1027,322,1841,0.004441987656433416
240_high_updated_link_graph_8,240,88,3.182095313968821,1121,332,388,1841,0.013258730474870088
240_high_updated_link_graph_8,240,89,3.0310742463063955,1115,356,370,1841,0.012629476026276648
240_high_updated_link_graph_8,240,90,2.3246250174027594,858,515,468,1841,0.009685937572511497
240_high_updated_link_graph_8,240,91,3.87571522999116,1343,239,259,1841,0.0161488134582965
