Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_low_updated_link_graph_9,240,1,2.008033128019907,896,508,437,1841,0.008366804700082945
240_low_updated_link_graph_9,240,2,2.524951263082118,1111,303,427,1841,0.010520630262842159
240_low_updated_link_graph_9,240,3,1.8478373442429452,561,995,285,1841,0.007699322267678939
240_low_updated_link_graph_9,240,4,3.257114885385454,1212,321,308,1841,0.013571312022439391
240_low_updated_link_graph_9,240,5,1.7551598692300912,617,776,448,1841,0.007313166121792046
240_low_updated_link_graph_9,240,6,1.4911712330449656,550,776,515,1841,0.00621321347102069
240_low_updated_link_graph_9,240,7,2.805500764123616,1005,375,461,1841,0.011689586517181733
240_low_updated_link_graph_9,240,8,2.2315728625150815,1110,329,402,1841,0.009298220260479505
240_low_updated_link_graph_9,240,9,2.335403035735368,996,381,464,1841,0.0097308459822307
240_low_updated_link_graph_9,240,10,2.078420007778363,832,512,497,1841,0.00866008336574318
240_low_updated_link_graph_9,240,11,1.2344344714572661,1009,425,407,1841,0.005143476964405275
240_low_updated_link_graph_9,240,12,3.742350775848439,1285,273,283,1841,0.01559312823270183
240_low_updated_link_graph_9,240,13,2.5843672333516117,984,428,429,1841,0.010768196805631715
240_low_updated_link_graph_9,240,14,2.685526519571186,579,936,326,1841,0.011189693831546608
240_low_updated_link_graph_9,240,15,3.1938687543910995,923,482,436,1841,0.013307786476629582
240_low_updated_link_graph_9,240,16,2.191142235658361,747,543,551,1841,0.009129759315243171
240_low_updated_link_graph_9,240,17,2.543047355425318,764,700,377,1841,0.010596030647605493
240_low_updated_link_graph_9,240,18,2.5827309836265973,901,494,446,1841,0.010761379098444155
240_low_updated_link_graph_9,240,19,2.3855246679885846,1047,399,395,1841,0.009939686116619103
240_low_updated_link_graph_9,240,20,1.4708942394618598,723,609,509,1841,0.0061287259977577495
240_low_updated_link_graph_9,240,21,1.7848951392083068,679,634,528,1841,0.007437063080034612
240_low_updated_link_graph_9,240,22,2.1284121460538485,650,776,415,1841,0.008868383941891036
240_low_updated_link_graph_9,240,23,3.2625703659914818,1129,363,349,1841,0.013594043191631175
240_low_updated_link_graph_9,240,24,2.536492255720631,963,378,500,1841,0.010568717732169296
240_low_updated_link_graph_9,240,25,2.2288746997202544,858,521,462,1841,0.00928697791550106
240_low_updated_link_graph_9,240,26,2.165831147653268,766,597,478,1841,0.009024296448555284
240_low_updated_link_graph_9,240,27,3.6105120240483823,1213,348,280,1841,0.015043800100201593
240_low_updated_link_graph_9,240,28,2.7511427748779713,927,494,420,1841,0.01146309489532488
240_low_updated_link_graph_9,240,29,1.951106280030732,778,608,455,1841,0.00812960950012805
240_low_updated_link_graph_9,240,30,2.309422467148759,950,445,446,1841,0.009622593613119828
240_low_updated_link_graph_9,240,31,2.0372615322820233,897,479,465,1841,0.008488589717841765
240_low_updated_link_graph_9,240,32,3.1286918440561533,773,610,458,1841,0.013036216016900639
240_low_updated_link_graph_9,240,33,1.5762065855513558,941,428,472,1841,0.006567527439797316
240_low_updated_link_graph_9,240,34,2.132685533958946,950,401,490,1841,0.00888618972482894
240_low_updated_link_graph_9,240,35,2.4685097269375715,1096,298,447,1841,0.010285457195573215
240_low_updated_link_graph_9,240,36,2.146064491269784,757,756,328,1841,0.008941935380290766
240_low_updated_link_graph_9,240,37,1.6598813314877925,758,508,575,1841,0.006916172214532469
240_low_updated_link_graph_9,240,38,3.361150177874838,906,528,407,1841,0.014004792407811825
240_low_updated_link_graph_9,240,39,2.783329163040225,1011,446,384,1841,0.011597204846000938
240_low_updated_link_graph_9,240,40,3.1513738337463213,1177,305,359,1841,0.013130724307276338
240_low_updated_link_graph_9,240,41,2.792153708579116,1020,374,447,1841,0.011633973785746318
240_low_updated_link_graph_9,240,42,1.6377561323846845,884,428,529,1841,0.006823983884936186
240_low_updated_link_graph_9,240,43,1.7002489375015983,925,477,439,1841,0.007084370572923326
240_low_updated_link_graph_9,240,44,3.0257241378064883,1085,344,412,1841,0.012607183907527035
240_low_updated_link_graph_9,240,45,1.9086165423210473,607,855,379,1841,0.007952568926337698
240_low_updated_link_graph_9,240,46,2.7303786950959203,829,482,530,1841,0.011376577896233002
240_low_updated_link_graph_9,240,47,1.6041865906017796,514,920,407,1841,0.006684110794174082
240_low_updated_link_graph_9,240,48,0.7504926253528855,476,1151,214,1841,0.003127052605637023
240_low_updated_link_graph_9,240,49,0.8344781393756965,631,784,426,1841,0.0034769922473987355
240_low_updated_link_graph_9,240,50,2.797033504715218,749,714,378,1841,0.011654306269646742
