Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_mixed_updated_link_graph_5,238,1,1.3148643115020595,804,298,739,1841,0.005524639964294368
240_mixed_updated_link_graph_5,238,2,1.7662464378330043,1162,159,520,1841,0.007421203520306741
240_mixed_updated_link_graph_5,238,3,1.2936247194938613,750,382,709,1841,0.005435397981066644
240_mixed_updated_link_graph_5,238,4,2.2126831340523463,1110,206,525,1841,0.009296987958203136
240_mixed_updated_link_graph_5,238,5,1.4962594600621923,501,819,521,1841,0.006286804454042825
240_mixed_updated_link_graph_5,238,6,0.8347198955481864,586,501,754,1841,0.003507226451883136
240_mixed_updated_link_graph_5,238,7,2.055562137029131,1084,150,607,1841,0.008636815701803071
240_mixed_updated_link_graph_5,238,8,0.9093968514893831,731,313,797,1841,0.003820995174325139
240_mixed_updated_link_graph_5,238,9,1.6912845017901563,1051,244,546,1841,0.007106237402479648
240_mixed_updated_link_graph_5,238,10,0.0831397920753162,381,1015,445,1841,0.0003493268574593118
240_mixed_updated_link_graph_5,238,11,0.3031785928027475,392,1111,338,1841,0.0012738596336249895
240_mixed_updated_link_graph_5,238,12,2.2515487568426904,1293,133,415,1841,0.009460288894297019
240_mixed_updated_link_graph_5,238,13,1.3093724669228488,692,519,630,1841,0.005501564987070794
240_mixed_updated_link_graph_5,238,14,1.7381268793465683,679,530,632,1841,0.007303054114901547
240_mixed_updated_link_graph_5,238,15,0.8608673971422228,454,985,402,1841,0.0036170899039589194
240_mixed_updated_link_graph_5,238,16,1.3020995014671204,889,250,702,1841,0.00547100630868538
240_mixed_updated_link_graph_5,238,17,1.193325551427403,653,423,765,1841,0.005013972905157156
240_mixed_updated_link_graph_5,238,18,2.3149929277907577,879,334,628,1841,0.009726861041137638
240_mixed_updated_link_graph_5,238,19,0.7526142211389801,416,827,598,1841,0.0031622446266343705
240_mixed_updated_link_graph_5,238,20,1.5227857452576958,1021,191,629,1841,0.006398259433855865
240_mixed_updated_link_graph_5,238,21,0.9869578175410242,688,523,630,1841,0.004146881586306824
240_mixed_updated_link_graph_5,238,22,1.5676467396376055,763,358,720,1841,0.006586751006880695
240_mixed_updated_link_graph_5,238,23,1.9617789259348775,1207,144,490,1841,0.008242768596365031
240_mixed_updated_link_graph_5,238,24,1.6941216377431174,906,299,636,1841,0.007118158141777804
240_mixed_updated_link_graph_5,238,25,1.298008160893539,745,447,649,1841,0.005453815802073693
240_mixed_updated_link_graph_5,238,26,1.2078381561347902,744,356,741,1841,0.005074950235860463
240_mixed_updated_link_graph_5,238,27,2.059144720910612,1045,313,483,1841,0.008651868575254672
240_mixed_updated_link_graph_5,238,28,1.3360406718276199,914,248,679,1841,0.005613616268183277
240_mixed_updated_link_graph_5,238,29,1.0816955698269641,810,337,694,1841,0.004544939369020858
240_mixed_updated_link_graph_5,238,30,0.6661510644540295,403,968,470,1841,0.002798954052327855
240_mixed_updated_link_graph_5,238,31,1.4491474053822095,913,263,665,1841,0.006088854644463066
240_mixed_updated_link_graph_5,238,32,1.832618931008465,898,282,661,1841,0.007700079542052375
240_mixed_updated_link_graph_5,238,33,0.8528705060066367,490,700,651,1841,0.003583489521036289
240_mixed_updated_link_graph_5,238,34,1.5247485186376477,831,350,660,1841,0.006406506380830452
240_mixed_updated_link_graph_5,238,35,1.9901008813786936,980,176,685,1841,0.008361768409154174
240_mixed_updated_link_graph_5,238,36,1.5409111619779388,550,512,779,1841,0.006474416646966129
240_mixed_updated_link_graph_5,238,37,0.8511955371002707,475,435,931,1841,0.0035764518365557596
240_mixed_updated_link_graph_5,238,38,1.759753521967699,898,270,673,1841,0.007393922361208819
240_mixed_updated_link_graph_5,238,39,1.9294654409713714,909,301,631,1841,0.008106997651140216
240_mixed_updated_link_graph_5,238,40,2.2477858994346014,1070,191,580,1841,0.009444478569052946
240_mixed_updated_link_graph_5,238,41,1.966809076640975,931,225,685,1841,0.00826390368336544
240_mixed_updated_link_graph_5,238,42,1.1477046530947408,434,793,614,1841,0.004822288458381264
240_mixed_updated_link_graph_5,238,43,0.648979828580756,580,440,821,1841,0.002726806002440151
240_mixed_updated_link_graph_5,238,44,1.9985035139287255,1083,177,581,1841,0.008397073587935821
240_mixed_updated_link_graph_5,238,45,1.0125087759543807,398,1047,396,1841,0.004254238554430171
240_mixed_updated_link_graph_5,238,46,1.705991121527727,866,266,709,1841,0.007168029922385408
240_mixed_updated_link_graph_5,238,47,0.9123423757810305,524,587,730,1841,0.0038333713268110525
240_mixed_updated_link_graph_5,238,48,0.17685097679410144,388,1058,395,1841,0.0007430713310676531
240_mixed_updated_link_graph_5,238,49,0.26811740138685036,401,878,562,1841,0.001126543703306094
240_mixed_updated_link_graph_5,238,50,2.2406109235516642,1047,232,562,1841,0.009414331611561615
240_mixed_updated_link_graph_5,238,51,0.7640024337748107,450,984,407,1841,0.003210094259558028
240_mixed_updated_link_graph_5,238,52,2.603435031280948,1134,166,541,1841,0.010938802652440958
240_mixed_updated_link_graph_5,238,53,0.21943763805502903,388,1100,353,1841,0.0009220068825841556
240_mixed_updated_link_graph_5,238,54,0.24056840471966295,399,809,633,1841,0.001010791616469172
240_mixed_updated_link_graph_5,238,55,0.1671155335477647,374,1132,335,1841,0.0007021661073435491
240_mixed_updated_link_graph_5,238,56,1.8388894586184519,927,335,579,1841,0.007726426296716184
240_mixed_updated_link_graph_5,238,57,0.5295276935338123,615,705,521,1841,0.0022249062753521526
240_mixed_updated_link_graph_5,238,58,0.9251533221336121,679,375,787,1841,0.0038871988324941688
240_mixed_updated_link_graph_5,238,59,1.9102676213660155,1007,208,626,1841,0.008026334543554687
240_mixed_updated_link_graph_5,238,60,0.9091776333186795,652,447,742,1841,0.003820074089574284
240_mixed_updated_link_graph_5,238,61,1.4246997604587952,792,249,800,1841,0.005986133447305862
240_mixed_updated_link_graph_5,238,62,2.054008811385966,969,234,638,1841,0.008630289123470445
240_mixed_updated_link_graph_5,238,63,1.6741277811633895,1009,197,635,1841,0.0070341503410226444
240_mixed_updated_link_graph_5,238,64,1.178438965671798,509,470,862,1841,0.004951424225511756
240_mixed_updated_link_graph_5,238,65,1.1624538528761938,682,447,712,1841,0.004884259886034428
240_mixed_updated_link_graph_5,238,66,1.0969253734006064,677,547,617,1841,0.004608930140338682
240_mixed_updated_link_graph_5,238,67,1.4504431059981806,754,329,758,1841,0.006094298764698238
240_mixed_updated_link_graph_5,238,68,1.8326119954262952,735,426,680,1841,0.00770005040095082
240_mixed_updated_link_graph_5,238,69,1.1991194466992319,691,427,723,1841,0.005038317002937949
240_mixed_updated_link_graph_5,238,70,1.130021486397744,667,466,708,1841,0.0047479894386459835
240_mixed_updated_link_graph_5,238,71,2.554530657153364,1369,95,377,1841,0.01073332208887968
240_mixed_updated_link_graph_5,238,72,1.930032450825719,884,337,620,1841,0.008109380045486215
240_mixed_updated_link_graph_5,238,73,1.761767496470931,936,269,636,1841,0.007402384438953491
240_mixed_updated_link_graph_5,238,74,2.2217146090702573,1336,127,378,1841,0.009334935332227972
