Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_random_updated_link_graph_3,240,1,1.9455364678091582,1201,299,341,1841,0.008106401949204827
240_random_updated_link_graph_3,240,2,2.440895172964773,1397,173,271,1841,0.010170396554019887
240_random_updated_link_graph_3,240,3,1.7912414599378483,563,893,385,1841,0.007463506083074368
240_random_updated_link_graph_3,240,4,3.1870158606315377,1385,235,221,1841,0.013279232752631407
240_random_updated_link_graph_3,240,5,1.6990954388777297,912,506,423,1841,0.007079564328657207
240_random_updated_link_graph_3,240,6,1.414916410047832,980,367,494,1841,0.005895485041865966
240_random_updated_link_graph_3,240,7,2.747378073361177,1112,405,324,1841,0.011447408639004904
240_random_updated_link_graph_3,240,8,2.168658794235691,1370,216,255,1841,0.00903607830931538
240_random_updated_link_graph_3,240,9,2.281494811575991,1122,430,289,1841,0.00950622838156663
240_random_updated_link_graph_3,240,10,1.9752661400085327,996,479,366,1841,0.008230275583368887
240_random_updated_link_graph_3,240,11,1.1548194664191842,1111,488,242,1841,0.004811747776746601
240_random_updated_link_graph_3,240,12,3.659115082139098,1460,205,176,1841,0.015246312842246241
240_random_updated_link_graph_3,240,13,2.5214151712880533,1289,254,298,1841,0.010505896547033555
240_random_updated_link_graph_3,240,14,2.621896523800519,1015,458,368,1841,0.01092456884916883
240_random_updated_link_graph_3,240,15,3.125024231896778,1258,282,301,1841,0.013020934299569908
240_random_updated_link_graph_3,240,16,2.1345490403745404,1179,258,404,1841,0.008893954334893919
240_random_updated_link_graph_3,240,17,2.476722127452222,1078,422,341,1841,0.010319675531050926
240_random_updated_link_graph_3,240,18,2.536746693959554,1023,499,319,1841,0.010569777891498143
240_random_updated_link_graph_3,240,19,2.322328451564149,1092,471,278,1841,0.009676368548183954
240_random_updated_link_graph_3,240,20,1.4148931534312155,858,518,465,1841,0.005895388139296731
240_random_updated_link_graph_3,240,21,1.7251782884209583,929,487,425,1841,0.00718824286842066
240_random_updated_link_graph_3,240,22,2.0677061752496666,735,612,494,1841,0.008615442396873611
240_random_updated_link_graph_3,240,23,3.1901814688891315,1357,252,232,1841,0.013292422787038047
240_random_updated_link_graph_3,240,24,2.5903973170517482,1331,210,300,1841,0.010793322154382284
240_random_updated_link_graph_3,240,25,2.16057852069003,1014,454,373,1841,0.009002410502875124
240_random_updated_link_graph_3,240,26,2.0933529666499426,1155,253,433,1841,0.008722304027708095
240_random_updated_link_graph_3,240,27,3.5443117408093947,1178,458,205,1841,0.014767965586705812
240_random_updated_link_graph_3,240,28,2.688384029686409,1234,279,328,1841,0.01120160012369337
240_random_updated_link_graph_3,240,29,1.8817068621930304,949,547,345,1841,0.007840445259137626
240_random_updated_link_graph_3,240,30,2.2447000429095305,1283,227,331,1841,0.009352916845456378
240_random_updated_link_graph_3,240,31,1.9777178711053127,1052,501,288,1841,0.00824049112960547
240_random_updated_link_graph_3,240,32,3.0618628935593506,945,534,362,1841,0.012757762056497294
240_random_updated_link_graph_3,240,33,1.5278063577611882,1062,469,310,1841,0.006365859824004951
240_random_updated_link_graph_3,240,34,2.0786347242423022,1095,445,301,1841,0.00866097801767626
240_random_updated_link_graph_3,240,35,2.4128776270490873,1380,147,314,1841,0.010053656779371197
240_random_updated_link_graph_3,240,36,2.1072500910027974,723,788,330,1841,0.008780208712511655
240_random_updated_link_graph_3,240,37,1.60459035335022,1013,432,396,1841,0.00668579313895925
240_random_updated_link_graph_3,240,38,3.2934414688553835,1185,323,333,1841,0.013722672786897431
240_random_updated_link_graph_3,240,39,2.7072521010927515,1295,289,257,1841,0.011280217087886464
240_random_updated_link_graph_3,240,40,3.0645792602564286,1195,384,262,1841,0.012769080251068453
240_random_updated_link_graph_3,240,41,2.7246552286763737,1346,215,280,1841,0.01135273011948489
240_random_updated_link_graph_3,240,42,1.5827554611950108,1098,422,321,1841,0.006594814421645878
240_random_updated_link_graph_3,240,43,1.6641551351336403,1082,467,292,1841,0.006933979729723501
240_random_updated_link_graph_3,240,44,2.969008642899215,1384,197,260,1841,0.012370869345413395
240_random_updated_link_graph_3,240,45,1.8449892192604815,815,586,440,1841,0.007687455080252007
240_random_updated_link_graph_3,240,46,2.693263756363466,1063,445,333,1841,0.011221932318181109
240_random_updated_link_graph_3,240,47,1.5346734467628549,642,514,685,1841,0.006394472694845229
240_random_updated_link_graph_3,240,48,0.6490771212344257,640,950,251,1841,0.0027044880051434405
240_random_updated_link_graph_3,240,49,0.7889888676298056,856,590,395,1841,0.00328745361512419
240_random_updated_link_graph_3,240,50,2.7612659189150084,1075,385,381,1841,0.011505274662145869
240_random_updated_link_graph_3,240,51,1.4077868831134366,549,965,327,1841,0.005865778679639319
240_random_updated_link_graph_3,240,52,3.5033881398457747,1199,424,218,1841,0.014597450582690729
240_random_updated_link_graph_3,240,53,0.9083164490263643,618,816,407,1841,0.0037846518709431847
240_random_updated_link_graph_3,240,54,1.2181310166669395,764,645,432,1841,0.005075545902778914
240_random_updated_link_graph_3,240,55,1.0237001618128028,477,1076,288,1841,0.004265417340886678
240_random_updated_link_graph_3,240,56,2.395390918994071,1052,515,274,1841,0.00998079549580863
240_random_updated_link_graph_3,240,57,1.4477774308507512,607,926,308,1841,0.0060324059618781295
240_random_updated_link_graph_3,240,58,1.4370861548928289,1011,460,370,1841,0.00598785897872012
240_random_updated_link_graph_3,240,59,2.9060213990761903,1370,193,278,1841,0.012108422496150793
240_random_updated_link_graph_3,240,60,1.51498732639622,548,855,438,1841,0.006312447193317583
240_random_updated_link_graph_3,240,61,2.1208809706259406,1124,238,479,1841,0.008837004044274753
240_random_updated_link_graph_3,240,62,3.2086506039341853,1301,237,303,1841,0.01336937751639244
