Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_mixed_updated_link_graph_7,Range_35-65,237,1.9990359953236463,0.6373381960393856,0.00843475103512087,0.002689190700588125,0.7591581122086641,774.45,587.93,478.62
240_mixed_updated_link_graph_8,Range_35-65,239,2.0128622045539872,0.6366931564340506,0.008422017592276097,0.002663988102234521,0.7701223185520835,763.58,588.05,489.37
240_mixed_updated_link_graph_2,Range_35-65,237,1.9906981520618052,0.6377994749513423,0.008399570261864157,0.002691137025111149,0.7521159254986844,771.53,580.28,489.19
240_mixed_updated_link_graph_10,Range_35-65,237,1.981367340078017,0.6358387213785943,0.00836019974716463,0.002682863803285208,0.8104190048634492,748.44,606.55,486.01
240_mixed_updated_link_graph_9,Range_35-65,240,2.004206781965491,0.6365604771510048,0.008350861591522879,0.0026523353214625203,0.8522332101717018,736.16,627.38,477.46
240_mixed_updated_link_graph_5,Range_35-65,238,1.9811865812792888,0.6366071385821399,0.008324313366719701,0.002674819910008991,0.700066456846936,797.51,558.31,485.18
240_mixed_updated_link_graph_4,Range_35-65,239,1.975449211883643,0.6368278124283874,0.00826547787399014,0.0026645515164367673,0.703565625905261,793.97,558.61,488.42
240_mixed_updated_link_graph_1,Range_35-65,239,1.9734532547212635,0.6375104017017144,0.008257126588791897,0.0026674075385008968,0.7298525134488173,777.02,567.11,496.87
240_mixed_updated_link_graph_6,Range_35-65,239,1.9613566832973526,0.6370688385657097,0.008206513319235784,0.0026655599939987853,0.7386889344209482,776.01,573.23,491.76
240_mixed_updated_link_graph_3,Range_35-65,239,1.9344913373068806,0.6357815939534539,0.008094106013836321,0.00266017403327805,0.6872277400243945,803.46,552.16,485.38
