Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_folder_updated_link_graph_7,Range_5-35,224,1.3697575874876744,0.5959516063203786,0.0061149892298556895,0.00266049824250169,0.20905289366999713,1253.08,261.96,325.96
240_folder_updated_link_graph_4,Range_5-35,228,1.378062818734191,0.596866263034496,0.0060441351698868025,0.0026178344869934034,0.19479875283446713,1270.08,247.41,323.51
240_folder_updated_link_graph_5,Range_5-35,226,1.3462296187376492,0.5956125424634263,0.005956768224502872,0.002635453727714276,0.21117328246102762,1252.81,264.56,323.63
240_folder_updated_link_graph_9,Range_5-35,227,1.2879786915809874,0.5939059898717299,0.005673914940885407,0.0026163259465714975,0.2715990913954447,1140.21,309.68,391.11
240_folder_updated_link_graph_8,Range_5-35,226,1.2761098238461108,0.5939549997370487,0.005646503645336773,0.0026281194678630473,0.2907889705947733,1124.63,327.03,389.34
240_folder_updated_link_graph_1,Range_5-35,232,1.2956932417130747,0.595954157617367,0.005584884662556356,0.0025687679207645133,0.23396477507968325,1217.32,284.81,338.87
240_folder_updated_link_graph_10,Range_5-35,224,1.2379551335689432,0.5937248930632306,0.005526585417718497,0.002650557558317994,0.22005345360394224,1197.3,263.47,380.23
240_folder_updated_link_graph_3,Range_5-35,230,1.2468358278025113,0.5938959464676246,0.0054210253382717885,0.002582156288989672,0.24633426108207182,1178.48,290.3,372.22
240_folder_updated_link_graph_2,Range_5-35,232,1.2339590013282484,0.5934092953530916,0.005318788798828657,0.0025577986868667744,0.25944193307657337,1165.81,302.46,372.73
240_folder_updated_link_graph_6,Range_5-35,234,1.2085401269894467,0.5930840918851891,0.005164701397390798,0.002534547401218757,0.25351338821974023,1164.83,295.3,380.87
