Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_high_updated_link_graph_6,Range_5-35,240,1.3270558788212665,0.592846752781983,0.005529399495088611,0.002470194803258262,0.6185750062941419,754.67,466.82,619.51
240_high_updated_link_graph_8,Range_5-35,240,1.3199721530238577,0.5928144983410651,0.00549988397093274,0.002470060409754438,0.6222749953304694,749.54,466.42,625.04
240_high_updated_link_graph_5,Range_5-35,240,1.3188388081738114,0.5927217258272356,0.005495161700724214,0.0024696738576134815,0.6265360522457684,750.3,470.09,620.61
240_high_updated_link_graph_10,Range_5-35,240,1.3173853572092993,0.5926935286825264,0.005489105655038747,0.0024695563695105267,0.5629585615376667,774.16,435.82,631.02
240_high_updated_link_graph_4,Range_5-35,240,1.3155849259883559,0.5927452201201787,0.005481603858284816,0.002469771750500745,0.5803047762082939,772.37,448.21,620.42
240_high_updated_link_graph_9,Range_5-35,240,1.309294950783298,0.5926956879146202,0.005455395628263742,0.0024695653663109178,0.5520044927184776,783.49,432.49,625.02
240_high_updated_link_graph_3,Range_5-35,240,1.3053999606317475,0.5925433233882625,0.005439166502632281,0.0024689305141177608,0.5430104791942212,786.32,426.98,627.7
240_high_updated_link_graph_7,Range_5-35,240,1.2873738050285695,0.5938438387241739,0.005364057520952373,0.0024743493280173913,0.6533495407887628,740.4,483.74,616.86
240_high_updated_link_graph_1,Range_5-35,240,1.2809611343568594,0.5929262745322034,0.005337338059820247,0.002470526143884181,0.6470913753542988,740.9,479.43,620.67
240_high_updated_link_graph_2,Range_5-35,240,1.2687650123582166,0.5925429162671312,0.005286520884825902,0.0024689288177797133,0.6167167180409848,755.89,466.17,618.94
