Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_low_updated_link_graph_6,Range_5-35,240,1.3922369150884897,0.5923055783236596,0.0058009871462020406,0.002467939909681915,0.7799945497052538,697.21,543.82,599.97
240_low_updated_link_graph_1,Range_5-35,240,1.34250248976999,0.592692155765828,0.005593760374041625,0.0024695506490242836,0.6097615042574555,766.89,467.62,606.49
240_low_updated_link_graph_3,Range_5-35,240,1.3404964839327047,0.592975258775919,0.00558540201638627,0.002470730244899662,0.6855984603415094,732.63,502.29,606.08
240_low_updated_link_graph_10,Range_5-35,240,1.3325244700062695,0.592594565937652,0.00555218529169279,0.0024691440247402168,0.6561975992121584,751.42,493.08,596.5
240_low_updated_link_graph_4,Range_5-35,240,1.3271704613080766,0.5923472835086501,0.005529876922116986,0.002468113681286042,0.5666730146638735,787.65,446.34,607.01
240_low_updated_link_graph_8,Range_5-35,240,1.3191158882347898,0.5926445021353229,0.005496316200978291,0.002469352092230512,0.5549384115468904,793.98,440.61,606.41
240_low_updated_link_graph_2,Range_5-35,239,1.307979686995642,0.5924604469987478,0.005472718355630301,0.002478914004178861,0.6502803046329595,756.32,491.82,592.86
240_low_updated_link_graph_5,Range_5-35,240,1.2866457335604014,0.5925376589180691,0.0053610238898350055,0.002468906912158621,0.6514059895693317,743.96,484.62,612.42
240_low_updated_link_graph_7,Range_5-35,240,1.2807666171805008,0.5923103649228995,0.00533652757158542,0.0024679598538454145,0.6132478911920487,764.65,468.92,607.43
240_low_updated_link_graph_9,Range_5-35,240,1.279905973350885,0.591757309229041,0.005332941555628688,0.0024656554551210044,0.6376917457998539,752.95,480.15,607.9
