Comparison,Range,Links_Inserted_k,Mean_Delta_%,Std_Delta_%,Authority_Yield_AY,Authority_Volatility_AV,Down_Up_Ratio_DUR,Avg_Pages_Up,Avg_Pages_Down,Avg_Pages_Neutral
240_random_updated_link_graph_6,Range_5-35,237,1.2708995630557498,0.5912414047164753,0.005362445413737341,0.002494689471377533,0.24723645680819914,1092.8,270.18,478.02
240_random_updated_link_graph_4,Range_5-35,235,1.2332479433734123,0.5915167730370827,0.005247863588823031,0.0025170926512216286,0.2563757758134286,1063.4,272.63,504.97
240_random_updated_link_graph_8,Range_5-35,235,1.2239345684164018,0.5913916889870328,0.005208232206027241,0.0025165603786682245,0.20007671452606987,1147.11,229.51,464.38
240_random_updated_link_graph_1,Range_5-35,238,1.2290802700633008,0.5912295092989218,0.00516420281539202,0.00248415760209631,0.2578197728542171,1074.2,276.95,489.85
240_random_updated_link_graph_10,Range_5-35,235,1.2113483386585808,0.5916494499243726,0.0051546737815258755,0.0025176572337207346,0.2691478997264586,1067.48,287.31,486.21
240_random_updated_link_graph_2,Range_5-35,236,1.2153886078234826,0.5915013849450136,0.005149951728065604,0.0025063618006144644,0.24002494909284364,1090.22,261.68,489.1
240_random_updated_link_graph_3,Range_5-35,240,1.2126494876432141,0.591563563184806,0.005052706198513392,0.0024648481799366914,0.24453847756947525,1103.63,269.88,467.49
240_random_updated_link_graph_9,Range_5-35,240,1.1853738500381894,0.5915897165909898,0.004939057708492456,0.0024649571524624574,0.226935627410264,1112.43,252.45,476.12
240_random_updated_link_graph_7,Range_5-35,238,1.1688877976061236,0.5910781714746578,0.00491129326725262,0.002483521728885117,0.25845862919223567,1078.78,278.82,483.4
240_random_updated_link_graph_5,Range_5-35,236,1.1159577911257796,0.5908086842126393,0.004728634708160083,0.002503426628019658,0.29645337639345537,1028.02,304.76,508.22
