Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_folder_updated_link_graph_4,228,1,2.6324871390644127,1475,141,225,1841,0.011545996223966723
240_folder_updated_link_graph_4,228,2,2.7295826760483903,1466,149,226,1841,0.011971853842317502
240_folder_updated_link_graph_4,228,3,1.7591850765265316,934,519,388,1841,0.007715724019853209
240_folder_updated_link_graph_4,228,4,2.4416513843718435,1234,372,235,1841,0.010708997299876507
240_folder_updated_link_graph_4,228,5,1.8774749795661803,1192,406,243,1841,0.008234539384062194
240_folder_updated_link_graph_4,228,6,3.1687772435278743,1476,154,211,1841,0.013898145804946816
240_folder_updated_link_graph_4,228,7,2.1277051784386543,1254,366,221,1841,0.009332040256309886
240_folder_updated_link_graph_4,228,8,1.9898617950454152,1456,188,197,1841,0.008727464013357084
240_folder_updated_link_graph_4,228,9,2.0522822340267948,1111,442,288,1841,0.009001237868538573
240_folder_updated_link_graph_4,228,10,0.471547075302384,712,770,359,1841,0.0020681889267648423
240_folder_updated_link_graph_4,228,11,1.8850883158678715,1503,119,219,1841,0.008267931209946806
240_folder_updated_link_graph_4,228,12,0.8983534027334441,934,523,384,1841,0.00394014650321686
240_folder_updated_link_graph_4,228,13,1.5857637446572168,1287,221,333,1841,0.006955104143233407
240_folder_updated_link_graph_4,228,14,1.9009289974368628,1122,464,255,1841,0.008337407883495013
240_folder_updated_link_graph_4,228,15,2.5657353794756457,1457,161,223,1841,0.011253225348577393
240_folder_updated_link_graph_4,228,16,1.9886392668826205,1378,213,250,1841,0.008722102047730792
240_folder_updated_link_graph_4,228,17,2.081319159388844,1465,127,249,1841,0.009128592804337036
240_folder_updated_link_graph_4,228,18,1.5874193034323971,1342,192,307,1841,0.006962365365931566
240_folder_updated_link_graph_4,228,19,1.9802764218524938,1131,452,258,1841,0.008685422902861815
240_folder_updated_link_graph_4,228,20,2.6101738000069807,1425,151,265,1841,0.011448130701785002
240_folder_updated_link_graph_4,228,21,2.035114660976743,1110,312,419,1841,0.008925941495512032
240_folder_updated_link_graph_4,228,22,2.2932622401279827,1338,228,275,1841,0.010058167719859573
240_folder_updated_link_graph_4,228,23,1.7092319284946642,1252,344,245,1841,0.0074966312653274745
240_folder_updated_link_graph_4,228,24,2.3190462596930903,1074,488,279,1841,0.010171255524969695
240_folder_updated_link_graph_4,228,25,1.2550527363643702,1065,469,307,1841,0.0055046172647560095
240_folder_updated_link_graph_4,228,26,2.522800522277432,1458,155,228,1841,0.011064914571392246
240_folder_updated_link_graph_4,228,27,1.6820893469072375,890,645,306,1841,0.007377584854856305
240_folder_updated_link_graph_4,228,28,1.9047624156673209,1096,500,245,1841,0.008354221121347899
240_folder_updated_link_graph_4,228,29,1.6111974878970516,1332,213,296,1841,0.007066655648671279
240_folder_updated_link_graph_4,228,30,2.628428648614398,1499,125,217,1841,0.011528195827256133
240_folder_updated_link_graph_4,228,31,2.47293429970863,1355,202,284,1841,0.0108462030688975
240_folder_updated_link_graph_4,228,32,1.513983660344585,1133,451,257,1841,0.006640279212037654
240_folder_updated_link_graph_4,228,33,2.0077209449593334,1125,465,251,1841,0.00880579361824269
240_folder_updated_link_graph_4,228,34,1.0877154159529216,1183,323,335,1841,0.004770681648916323
240_folder_updated_link_graph_4,228,35,1.825823738621649,1370,179,292,1841,0.008007998853603723
240_folder_updated_link_graph_4,228,36,1.115010374479274,1062,511,268,1841,0.0048903963792950615
240_folder_updated_link_graph_4,228,37,3.338886915846762,1580,81,180,1841,0.014644240858977026
240_folder_updated_link_graph_4,228,38,1.4538388099906747,903,546,392,1841,0.00637648600873103
240_folder_updated_link_graph_4,228,39,2.1413459406011564,1278,366,197,1841,0.009391868160531388
240_folder_updated_link_graph_4,228,40,2.6397238562226826,1452,148,241,1841,0.011577736211502994
240_folder_updated_link_graph_4,228,41,1.8780460013401334,1501,101,239,1841,0.008237043865526901
240_folder_updated_link_graph_4,228,42,1.9224845557875203,892,609,340,1841,0.008431949806085616
240_folder_updated_link_graph_4,228,43,1.3650416375408383,1322,205,314,1841,0.0059870247260563085
240_folder_updated_link_graph_4,228,44,1.4659139981695093,1023,527,291,1841,0.006429447360392584
240_folder_updated_link_graph_4,228,45,2.321015213558525,1085,480,276,1841,0.010179891287537391
240_folder_updated_link_graph_4,228,46,2.5538973783851207,1413,167,261,1841,0.01120130429116281
240_folder_updated_link_graph_4,228,47,2.076614748365225,1064,506,271,1841,0.009107959422654495
240_folder_updated_link_graph_4,228,48,2.6965205726895927,1245,400,196,1841,0.011826844617059616
240_folder_updated_link_graph_4,228,49,1.0037508719378694,1042,499,300,1841,0.004402416104990655
240_folder_updated_link_graph_4,228,50,2.2396441248749435,1151,418,272,1841,0.00982300054769712
240_folder_updated_link_graph_4,228,51,1.6457278275844998,990,502,349,1841,0.00721810450694956
240_folder_updated_link_graph_4,228,52,1.601606841884302,1403,151,287,1841,0.007024591411773254
240_folder_updated_link_graph_4,228,53,1.360566617963783,831,726,284,1841,0.005967397447209574
240_folder_updated_link_graph_4,228,54,2.041391245102355,1435,169,237,1841,0.008953470373255942
240_folder_updated_link_graph_4,228,55,0.5884727123131528,708,811,322,1841,0.002581020668040144
240_folder_updated_link_graph_4,228,56,2.152851629573574,1166,444,231,1841,0.009442331708656026
240_folder_updated_link_graph_4,228,57,1.911138388941386,1138,448,255,1841,0.008382185916409587
240_folder_updated_link_graph_4,228,58,1.7344070138334118,1400,175,266,1841,0.007607048306286893
240_folder_updated_link_graph_4,228,59,2.0559987511791022,1333,198,310,1841,0.009017538382364484
240_folder_updated_link_graph_4,228,60,1.7383676523875529,1302,244,295,1841,0.007624419528015583
240_folder_updated_link_graph_4,228,61,2.99477652663278,1423,153,265,1841,0.013134984765933245
240_folder_updated_link_graph_4,228,62,2.4821017136459487,1392,183,266,1841,0.010886411024762933
240_folder_updated_link_graph_4,228,63,3.1335308744362416,1542,110,189,1841,0.01374355646682562
240_folder_updated_link_graph_4,228,64,2.6752313165930186,1487,119,235,1841,0.011733470686811485
240_folder_updated_link_graph_4,228,65,2.8302487882973035,1164,454,223,1841,0.012413371878496945
240_folder_updated_link_graph_4,228,66,1.421248733304955,1013,469,359,1841,0.006233547075898926
240_folder_updated_link_graph_4,228,67,1.207856966378286,1077,442,322,1841,0.005297618273588974
240_folder_updated_link_graph_4,228,68,2.7070289310188937,1496,128,217,1841,0.011872933907977605
240_folder_updated_link_graph_4,228,69,2.1023659678998423,1434,150,257,1841,0.009220903367981764
240_folder_updated_link_graph_4,228,70,1.4098211793448452,1136,431,274,1841,0.006183426225196689
240_folder_updated_link_graph_4,228,71,2.229788773965887,1459,144,238,1841,0.009779775324411785
240_folder_updated_link_graph_4,228,72,2.876435040297357,1463,155,223,1841,0.012615943159198933
240_folder_updated_link_graph_4,228,73,2.8734589652677567,1320,234,287,1841,0.012602890198542792
240_folder_updated_link_graph_4,228,74,2.9051827845864526,1421,179,241,1841,0.012742029756958125
240_folder_updated_link_graph_4,228,75,2.831818186497709,1184,355,302,1841,0.01242025520393732
240_folder_updated_link_graph_4,228,76,1.6068497370474484,1190,399,252,1841,0.00704758656599758
240_folder_updated_link_graph_4,228,77,2.8248538195472497,1295,334,212,1841,0.012389709734856359
240_folder_updated_link_graph_4,228,78,1.3594372652526139,1377,161,303,1841,0.005962444145844798
240_folder_updated_link_graph_4,228,79,2.199726777202257,1399,194,248,1841,0.009647924461413408
240_folder_updated_link_graph_4,228,80,2.6596364435004234,1452,137,252,1841,0.011665072120615893
240_folder_updated_link_graph_4,228,81,1.5664663971745847,1350,201,290,1841,0.006870466654274494
240_folder_updated_link_graph_4,228,82,1.4402778714897397,1072,469,300,1841,0.006317008208288333
240_folder_updated_link_graph_4,228,83,1.7912158442417525,976,487,378,1841,0.007856209843165582
240_folder_updated_link_graph_4,228,84,1.797897805021744,1175,433,233,1841,0.00788551668869186
240_folder_updated_link_graph_4,228,85,2.769189167183357,1499,133,209,1841,0.012145566522734021
240_folder_updated_link_graph_4,228,86,1.4228940561199477,1228,312,301,1841,0.006240763404034858
240_folder_updated_link_graph_4,228,87,1.3596552502086343,813,692,336,1841,0.005963400220213308
240_folder_updated_link_graph_4,228,88,1.5968924417583388,1428,148,265,1841,0.0070039142182383276
240_folder_updated_link_graph_4,228,89,0.7683935475204415,929,524,388,1841,0.0033701471382475505
240_folder_updated_link_graph_4,228,90,1.5048221843593879,906,564,371,1841,0.006600097299821877
240_folder_updated_link_graph_4,228,91,1.4269917116572972,1063,422,356,1841,0.006258735577444286
240_folder_updated_link_graph_4,228,92,2.449925810063605,1312,193,336,1841,0.010745288640629846
240_folder_updated_link_graph_4,228,93,2.406831626614605,1208,384,249,1841,0.010556279064099144
240_folder_updated_link_graph_4,228,94,0.49729843057626083,647,882,312,1841,0.0021811334674397406
240_folder_updated_link_graph_4,228,95,2.312237922359555,1397,194,250,1841,0.010141394396313837
240_folder_updated_link_graph_4,228,96,1.0525138260647864,982,521,338,1841,0.0046162887108104666
240_folder_updated_link_graph_4,228,97,0.8932702826259974,628,894,319,1841,0.0039178521167806905
240_folder_updated_link_graph_4,228,98,3.4509778615674396,1541,81,219,1841,0.015135867813892279
240_folder_updated_link_graph_4,228,99,2.7465442080046363,1405,187,249,1841,0.012046246526336124
240_folder_updated_link_graph_4,228,100,2.196896242102901,1456,149,236,1841,0.009635509833784653
