Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_high_updated_link_graph_10,240,1,1.829167191146445,868,232,741,1841,0.007621529963110188
240_high_updated_link_graph_10,240,2,2.3324337922743537,1119,157,565,1841,0.009718474134476473
240_high_updated_link_graph_10,240,3,1.0707234227747329,445,688,708,1841,0.00446134759489472
240_high_updated_link_graph_10,240,4,2.002332823469077,954,226,661,1841,0.008343053431121154
240_high_updated_link_graph_10,240,5,1.0514503800096808,912,261,668,1841,0.004381043250040337
240_high_updated_link_graph_10,240,6,2.445152477475458,1177,160,504,1841,0.010188135322814408
240_high_updated_link_graph_10,240,7,1.498885499508734,839,212,790,1841,0.006245356247953058
240_high_updated_link_graph_10,240,8,1.6286846899069676,1086,202,553,1841,0.0067861862079456985
240_high_updated_link_graph_10,240,9,1.271415493280076,668,382,791,1841,0.00529756455533365
240_high_updated_link_graph_10,240,10,0.18843521063614765,351,1094,396,1841,0.0007851467109839486
240_high_updated_link_graph_10,240,11,0.8751008995814683,767,271,803,1841,0.003646253748256118
240_high_updated_link_graph_10,240,12,0.3766481077208925,357,1165,319,1841,0.001569367115503719
240_high_updated_link_graph_10,240,13,0.5944560590846858,636,428,777,1841,0.002476900246186191
240_high_updated_link_graph_10,240,14,0.9993099944888761,646,538,657,1841,0.00416379164370365
240_high_updated_link_graph_10,240,15,1.168220258366888,740,329,772,1841,0.004867584409862033
240_high_updated_link_graph_10,240,16,0.5935035745837088,378,782,681,1841,0.0024729315607654534
240_high_updated_link_graph_10,240,17,1.1983461273697782,906,189,746,1841,0.004993108864040742
240_high_updated_link_graph_10,240,18,0.8725231846242872,625,420,796,1841,0.0036355132692678636
240_high_updated_link_graph_10,240,19,1.6451183139077563,986,216,639,1841,0.006854659641282318
240_high_updated_link_graph_10,240,20,1.6835576851272223,1006,189,646,1841,0.007014823688030093
240_high_updated_link_graph_10,240,21,1.4345292046490503,739,422,680,1841,0.005977205019371043
240_high_updated_link_graph_10,240,22,1.9806851789316897,1072,187,582,1841,0.008252854912215373
240_high_updated_link_graph_10,240,23,0.6930736676501252,633,329,879,1841,0.0028878069485421885
240_high_updated_link_graph_10,240,24,1.6320406923768145,768,394,679,1841,0.0068001695515700605
240_high_updated_link_graph_10,240,25,0.8425321218193902,351,876,614,1841,0.0035105505075807924
240_high_updated_link_graph_10,240,26,1.7106019946846767,1123,140,578,1841,0.007127508311186153
240_high_updated_link_graph_10,240,27,1.363039403398769,733,416,692,1841,0.005679330847494871
240_high_updated_link_graph_10,240,28,1.066234579416613,751,397,693,1841,0.0044426440809025546
240_high_updated_link_graph_10,240,29,1.005318142593125,561,514,766,1841,0.004188825594138021
240_high_updated_link_graph_10,240,30,1.9918183755913732,1148,156,537,1841,0.008299243231630721
240_high_updated_link_graph_10,240,31,1.5441682085032484,688,475,678,1841,0.006434034202096869
240_high_updated_link_graph_10,240,32,0.8129095868707789,673,430,738,1841,0.003387123278628245
240_high_updated_link_graph_10,240,33,1.0267535291413663,423,993,425,1841,0.004278139704755693
240_high_updated_link_graph_10,240,34,0.8720553986888879,687,514,640,1841,0.0036335641612037
240_high_updated_link_graph_10,240,35,1.3331848011358398,890,206,745,1841,0.005554936671399333
240_high_updated_link_graph_10,240,36,0.39914732463743097,320,1137,384,1841,0.0016631138526559625
240_high_updated_link_graph_10,240,37,2.4793679058156113,1279,112,450,1841,0.010330699607565047
240_high_updated_link_graph_10,240,38,1.126528536643404,635,606,600,1841,0.00469386890268085
240_high_updated_link_graph_10,240,39,1.9329315295753542,1092,213,536,1841,0.008053881373230643
240_high_updated_link_graph_10,240,40,2.106692746571339,1039,207,595,1841,0.008777886444047247
240_high_updated_link_graph_10,240,41,1.2083777056993408,765,235,841,1841,0.0050349071070805865
240_high_updated_link_graph_10,240,42,1.1245216250834589,395,874,572,1841,0.004685506771181079
240_high_updated_link_graph_10,240,43,0.6863170723039441,605,424,812,1841,0.0028596544679331004
240_high_updated_link_graph_10,240,44,1.1252226425253993,690,388,763,1841,0.0046884276771891635
240_high_updated_link_graph_10,240,45,1.94540981113208,800,372,669,1841,0.008105874213050333
240_high_updated_link_graph_10,240,46,1.6295990969199587,973,194,674,1841,0.006789996237166495
240_high_updated_link_graph_10,240,47,1.3746399879511972,825,490,526,1841,0.0057276666164633215
240_high_updated_link_graph_10,240,48,2.019514961595711,990,198,653,1841,0.008414645673315463
240_high_updated_link_graph_10,240,49,0.2992415227560749,351,1096,394,1841,0.0012468396781503122
240_high_updated_link_graph_10,240,50,1.7638617371119722,981,212,648,1841,0.007349423904633218
240_high_updated_link_graph_10,240,51,0.7062486838352376,368,1113,360,1841,0.0029427028493134904
240_high_updated_link_graph_10,240,52,1.282440641845475,948,204,689,1841,0.0053435026743561456
240_high_updated_link_graph_10,240,53,0.7812714248516727,371,1026,444,1841,0.0032552976035486363
240_high_updated_link_graph_10,240,54,1.6780386189820469,1016,235,590,1841,0.006991827579091862
240_high_updated_link_graph_10,240,55,0.15300925292623122,323,1159,359,1841,0.0006375385538592967
240_high_updated_link_graph_10,240,56,1.6332518853853648,783,319,739,1841,0.006805216189105687
240_high_updated_link_graph_10,240,57,1.4148557827379242,866,289,686,1841,0.0058952324280746845
240_high_updated_link_graph_10,240,58,1.3460995783592062,1045,163,633,1841,0.0056087482431633594
240_high_updated_link_graph_10,240,59,1.3528745622533573,879,242,720,1841,0.005636977342722322
240_high_updated_link_graph_10,240,60,1.255111844962743,689,365,787,1841,0.005229632687344762
240_high_updated_link_graph_10,240,61,1.7503011043894885,754,359,728,1841,0.0072929212682895355
240_high_updated_link_graph_10,240,62,2.2197576152923433,1060,167,614,1841,0.009248990063718097
240_high_updated_link_graph_10,240,63,1.9700549059503132,1124,159,558,1841,0.008208562108126306
240_high_updated_link_graph_10,240,64,2.1590805041835015,1166,133,542,1841,0.008996168767431256
240_high_updated_link_graph_10,240,65,1.9805333269036434,1075,225,541,1841,0.008252222195431848
240_high_updated_link_graph_10,240,66,0.9418392261985733,399,1118,324,1841,0.003924330109160722
240_high_updated_link_graph_10,240,67,1.0169397058626088,705,283,853,1841,0.004237248774427537
240_high_updated_link_graph_10,240,68,1.9332274283360271,1084,166,591,1841,0.008055114284733446
240_high_updated_link_graph_10,240,69,1.1893144774474,954,161,726,1841,0.0049554769893641664
240_high_updated_link_graph_10,240,70,0.5965536835171973,332,990,519,1841,0.002485640347988322
240_high_updated_link_graph_10,240,71,1.5523609715368176,879,233,729,1841,0.00646817071473674
240_high_updated_link_graph_10,240,72,1.6461221248578841,1018,191,632,1841,0.006858842186907851
240_high_updated_link_graph_10,240,73,1.3756824627198156,668,433,740,1841,0.005732010261332565
240_high_updated_link_graph_10,240,74,1.9012787227104444,1043,221,577,1841,0.007921994677960184
240_high_updated_link_graph_10,240,75,2.005928915787435,723,427,691,1841,0.008358037149114313
240_high_updated_link_graph_10,240,76,1.113842099583491,671,460,710,1841,0.004641008748264546
240_high_updated_link_graph_10,240,77,2.205797626320094,1272,124,445,1841,0.009190823443000392
240_high_updated_link_graph_10,240,78,1.1922456688026224,772,262,807,1841,0.004967690286677593
240_high_updated_link_graph_10,240,79,1.5648193367725192,683,375,783,1841,0.006520080569885497
240_high_updated_link_graph_10,240,80,2.4145132045561293,1206,123,512,1841,0.01006047168565054
240_high_updated_link_graph_10,240,81,0.609927172554425,529,745,567,1841,0.002541363218976771
240_high_updated_link_graph_10,240,82,0.7547689567435288,693,435,713,1841,0.0031448706530980367
240_high_updated_link_graph_10,240,83,1.1441759178887532,587,542,712,1841,0.004767399657869805
240_high_updated_link_graph_10,240,84,1.4327147324756933,925,270,646,1841,0.005969644718648722
240_high_updated_link_graph_10,240,85,2.2866040479407954,1240,148,453,1841,0.00952751686641998
240_high_updated_link_graph_10,240,86,0.8226569946207716,555,584,702,1841,0.003427737477586548
240_high_updated_link_graph_10,240,87,0.6755669328280659,800,363,678,1841,0.002814862220116941
240_high_updated_link_graph_10,240,88,0.8978645356773148,717,264,860,1841,0.003741102231988812
240_high_updated_link_graph_10,240,89,0.16808728658427904,324,1127,390,1841,0.0007003636941011627
240_high_updated_link_graph_10,240,90,0.7119101457138145,428,977,436,1841,0.0029662922738075605
240_high_updated_link_graph_10,240,91,1.056507865318178,724,262,855,1841,0.004402116105492408
240_high_updated_link_graph_10,240,92,1.0824237113645079,738,302,801,1841,0.004510098797352116
240_high_updated_link_graph_10,240,93,1.6867022001429641,834,256,751,1841,0.007027925833929017
240_high_updated_link_graph_10,240,94,-0.22771793104468877,302,1249,290,1841,-0.0009488247126862032
240_high_updated_link_graph_10,240,95,1.2074759245084086,966,202,673,1841,0.005031149685451703
240_high_updated_link_graph_10,240,96,0.6552319874433671,377,1025,439,1841,0.0027301332810140294
240_high_updated_link_graph_10,240,97,0.4588775975039745,353,1113,375,1841,0.0019119899895998938
240_high_updated_link_graph_10,240,98,2.567665861470393,1343,102,396,1841,0.010698607756126638
240_high_updated_link_graph_10,240,99,2.0632479289302634,855,253,733,1841,0.008596866370542765
240_high_updated_link_graph_10,240,100,1.49466418728624,804,290,747,1841,0.006227767447026
