Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_low_updated_link_graph_9,240,1,2.8288449643776774,904,499,438,1841,0.011786854018240322
240_low_updated_link_graph_9,240,2,2.9504063565658853,991,495,355,1841,0.012293359819024522
240_low_updated_link_graph_9,240,3,1.722318507887793,531,1029,281,1841,0.007176327116199138
240_low_updated_link_graph_9,240,4,3.1153023787374083,960,401,480,1841,0.012980426578072534
240_low_updated_link_graph_9,240,5,2.4044770327263407,1004,411,426,1841,0.01001865430302642
240_low_updated_link_graph_9,240,6,3.630977174744034,872,578,391,1841,0.015129071561433475
240_low_updated_link_graph_9,240,7,2.8338306816255545,1005,366,470,1841,0.011807627840106477
240_low_updated_link_graph_9,240,8,2.2527445520401623,960,466,415,1841,0.009386435633500676
240_low_updated_link_graph_9,240,9,2.4465746473231196,543,947,351,1841,0.010194061030512997
240_low_updated_link_graph_9,240,10,1.0401547270848788,464,1137,240,1841,0.0043339780295203285
240_low_updated_link_graph_9,240,11,2.530776407943084,1225,278,338,1841,0.01054490169976285
240_low_updated_link_graph_9,240,12,1.400845798220382,511,1120,210,1841,0.005836857492584924
240_low_updated_link_graph_9,240,13,1.9855774288978698,503,1055,283,1841,0.008273239287074458
240_low_updated_link_graph_9,240,14,2.3428567684437884,980,458,403,1841,0.009761903201849118
240_low_updated_link_graph_9,240,15,3.1036075629154167,1104,364,373,1841,0.012931698178814236
240_low_updated_link_graph_9,240,16,2.47487137887655,897,492,452,1841,0.010311964078652291
240_low_updated_link_graph_9,240,17,2.987792397944788,972,413,456,1841,0.012449134991436617
240_low_updated_link_graph_9,240,18,1.9371094920420133,801,531,509,1841,0.008071289550175055
240_low_updated_link_graph_9,240,19,2.3720760732167943,901,465,475,1841,0.009883650305069975
240_low_updated_link_graph_9,240,20,3.041292013328238,1258,292,291,1841,0.012672050055534324
240_low_updated_link_graph_9,240,21,2.6481993449781234,550,997,294,1841,0.011034163937408848
240_low_updated_link_graph_9,240,22,2.4443766095510706,845,504,492,1841,0.010184902539796127
240_low_updated_link_graph_9,240,23,2.279266114315208,1087,332,422,1841,0.009496942142980034
240_low_updated_link_graph_9,240,24,2.7097428869997215,769,645,427,1841,0.01129059536249884
240_low_updated_link_graph_9,240,25,1.5508436021725507,540,1033,268,1841,0.006461848342385628
240_low_updated_link_graph_9,240,26,2.873147256965412,1221,288,332,1841,0.01197144690402255
240_low_updated_link_graph_9,240,27,2.1729451410014065,748,570,523,1841,0.00905393808750586
240_low_updated_link_graph_9,240,28,2.155430479546464,749,678,414,1841,0.0089809603314436
240_low_updated_link_graph_9,240,29,1.8905216568823189,524,998,319,1841,0.007877173570342995
240_low_updated_link_graph_9,240,30,2.8122549767632137,1096,328,417,1841,0.011717729069846724
240_low_updated_link_graph_9,240,31,2.424187583961124,609,842,390,1841,0.010100781599838017
240_low_updated_link_graph_9,240,32,1.9898207423291259,766,715,360,1841,0.00829091975970469
240_low_updated_link_graph_9,240,33,2.328811147642527,1039,420,382,1841,0.009703379781843862
240_low_updated_link_graph_9,240,34,1.1478359545023646,543,1025,273,1841,0.004782649810426519
240_low_updated_link_graph_9,240,35,2.1919449194873426,585,738,518,1841,0.00913310383119726
240_low_updated_link_graph_9,240,36,1.6229691466181393,903,501,437,1841,0.006762371444242247
240_low_updated_link_graph_9,240,37,3.7514934427256494,1303,216,322,1841,0.01563122267802354
240_low_updated_link_graph_9,240,38,2.06867654471362,515,950,376,1841,0.008619485602973416
240_low_updated_link_graph_9,240,39,3.0961754398097043,1314,254,273,1841,0.012900730999207102
240_low_updated_link_graph_9,240,40,2.927712608592147,851,481,509,1841,0.012198802535800612
240_low_updated_link_graph_9,240,41,2.9146407272565367,1284,213,344,1841,0.012144336363568903
240_low_updated_link_graph_9,240,42,2.7442311493797713,632,800,409,1841,0.011434296455749048
240_low_updated_link_graph_9,240,43,2.145471483324568,691,674,476,1841,0.008939464513852366
240_low_updated_link_graph_9,240,44,1.4569764852310734,686,820,335,1841,0.0060707353551294726
