Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_mixed_updated_link_graph_1,239,1,1.8682477637023849,800,265,776,1841,0.007816936249800774
240_mixed_updated_link_graph_1,239,2,2.3654423368522606,1077,179,585,1841,0.00989724827134837
240_mixed_updated_link_graph_1,239,3,1.111025368535739,401,941,499,1841,0.004648641709354556
240_mixed_updated_link_graph_1,239,4,2.0421356405764097,880,284,677,1841,0.008544500588185814
240_mixed_updated_link_graph_1,239,5,1.0934806124605616,869,295,677,1841,0.004575232688119504
240_mixed_updated_link_graph_1,239,6,2.48554697051399,1152,182,507,1841,0.010399778119305397
240_mixed_updated_link_graph_1,239,7,1.5380962640165323,756,264,821,1841,0.006435549221826495
240_mixed_updated_link_graph_1,239,8,1.6678351984527606,1037,233,571,1841,0.0069783899516851905
240_mixed_updated_link_graph_1,239,9,1.3118476225099556,617,473,751,1841,0.005488902186234124
240_mixed_updated_link_graph_1,239,10,0.22838219918562971,367,1104,370,1841,0.0009555740551699988
240_mixed_updated_link_graph_1,239,11,0.9146692055870734,717,335,789,1841,0.0038270678058036547
240_mixed_updated_link_graph_1,239,12,0.3954924693855148,372,1172,297,1841,0.0016547802066339532
240_mixed_updated_link_graph_1,239,13,0.6346438039039142,515,542,784,1841,0.0026554134054557078
240_mixed_updated_link_graph_1,239,14,1.0409371349458931,451,835,555,1841,0.004355385501865662
240_mixed_updated_link_graph_1,239,15,1.2085023351469937,627,408,806,1841,0.005056495126138049
240_mixed_updated_link_graph_1,239,16,0.6334464021408551,380,1003,458,1841,0.0026504033562378877
240_mixed_updated_link_graph_1,239,17,1.2393211439914618,845,221,775,1841,0.005185444117119087
240_mixed_updated_link_graph_1,239,18,0.9112469838924669,404,587,850,1841,0.0038127488865793598
240_mixed_updated_link_graph_1,239,19,1.685839473283796,918,259,664,1841,0.0070537216455388956
240_mixed_updated_link_graph_1,239,20,1.723130866369879,940,229,672,1841,0.007209752578953468
240_mixed_updated_link_graph_1,239,21,1.4738797388497418,687,485,669,1841,0.006166860832007287
240_mixed_updated_link_graph_1,239,22,2.020219998713163,1008,205,628,1841,0.00845280334189608
240_mixed_updated_link_graph_1,239,23,0.7327183245092245,410,485,946,1841,0.003065767048155751
240_mixed_updated_link_graph_1,239,24,1.67223044783896,733,461,647,1841,0.006996780116481004
240_mixed_updated_link_graph_1,239,25,0.8825160352193445,370,1021,450,1841,0.0036925357122148308
240_mixed_updated_link_graph_1,239,26,1.7504354729202392,1079,164,598,1841,0.007323997794645352
240_mixed_updated_link_graph_1,239,27,1.402639358553516,701,476,664,1841,0.005868783927002159
240_mixed_updated_link_graph_1,239,28,1.1076460387952305,710,469,662,1841,0.004634502254373349
240_mixed_updated_link_graph_1,239,29,1.0434649553365305,350,881,610,1841,0.0043659621562197925
240_mixed_updated_link_graph_1,239,30,2.0299935909864817,1138,174,529,1841,0.008493697033416242
