Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_random_updated_link_graph_8,235,1,2.7856143309770625,1279,273,289,1841,0.011853678004157712
240_random_updated_link_graph_8,235,2,2.897785510380965,1209,349,283,1841,0.012331002171833893
240_random_updated_link_graph_8,235,3,1.6887976975527574,536,907,398,1841,0.007186373181075564
240_random_updated_link_graph_8,235,4,3.0240227515932947,1103,425,313,1841,0.012868181921673594
240_random_updated_link_graph_8,235,5,2.334386798982387,1310,261,270,1841,0.009933560846733563
240_random_updated_link_graph_8,235,6,3.5747994677260344,1149,370,322,1841,0.015211912628621423
240_random_updated_link_graph_8,235,7,2.792286990478421,1147,209,485,1841,0.011882072299908173
240_random_updated_link_graph_8,235,8,2.195480626124917,1265,296,280,1841,0.009342470749467733
240_random_updated_link_graph_8,235,9,2.3983873523551837,926,436,479,1841,0.010205903627043334
240_random_updated_link_graph_8,235,10,1.0016077053758778,450,1107,284,1841,0.0042621604484079905
240_random_updated_link_graph_8,235,11,2.4619359374093217,1398,180,263,1841,0.010476323137912007
240_random_updated_link_graph_8,235,12,1.3384022780076554,706,876,259,1841,0.005695328842585768
240_random_updated_link_graph_8,235,13,1.93185648559223,721,756,364,1841,0.008220665896137149
240_random_updated_link_graph_8,235,14,2.284628301822934,1284,278,279,1841,0.009721822560948655
240_random_updated_link_graph_8,235,15,3.042018234410645,1354,241,246,1841,0.012944758444300616
240_random_updated_link_graph_8,235,16,2.4227356855281714,1185,306,350,1841,0.010309513555439027
240_random_updated_link_graph_8,235,17,2.923661493942937,1303,239,299,1841,0.01244111274018271
240_random_updated_link_graph_8,235,18,1.879410398879969,1161,276,404,1841,0.007997491059063699
240_random_updated_link_graph_8,235,19,2.3462457440525295,1031,466,344,1841,0.009984024442776721
240_random_updated_link_graph_8,235,20,3.0090954146065565,1389,215,237,1841,0.012804661338751305
240_random_updated_link_graph_8,235,21,2.5823003487189182,796,644,401,1841,0.010988512122208163
240_random_updated_link_graph_8,235,22,2.3960152798862446,1032,462,347,1841,0.010195809701643594
240_random_updated_link_graph_8,235,23,2.246301365653068,1186,395,260,1841,0.009558729215544971
240_random_updated_link_graph_8,235,24,2.6437579628333916,1110,347,384,1841,0.01125003388439741
240_random_updated_link_graph_8,235,25,1.4930773004765345,545,922,374,1841,0.006353520427559722
240_random_updated_link_graph_8,235,26,2.8235283462537812,1410,200,231,1841,0.012015014239377793
240_random_updated_link_graph_8,235,27,2.134227118540673,980,548,313,1841,0.00908181752570499
240_random_updated_link_graph_8,235,28,2.09689693745287,1047,400,394,1841,0.008922965691288809
240_random_updated_link_graph_8,235,29,1.8216167962041057,894,472,475,1841,0.0077515608349110875
240_random_updated_link_graph_8,235,30,2.7691247708773656,1387,185,269,1841,0.011783509663307939
240_random_updated_link_graph_8,235,31,2.385173463828544,834,564,443,1841,0.010149674314164017
240_random_updated_link_graph_8,235,32,1.943369395862179,1130,322,389,1841,0.008269657003668846
240_random_updated_link_graph_8,235,33,2.288870901155154,1117,487,237,1841,0.009739876175128314
240_random_updated_link_graph_8,235,34,1.1128882990721054,764,741,336,1841,0.004735694889668534
240_random_updated_link_graph_8,235,35,2.1256670709167818,1013,358,470,1841,0.009045391791135242
240_random_updated_link_graph_8,235,36,1.5676327884572003,996,534,311,1841,0.0066707778232221295
240_random_updated_link_graph_8,235,37,3.689687288432451,1463,146,232,1841,0.015700796972052983
240_random_updated_link_graph_8,235,38,2.010669305065255,681,594,566,1841,0.008556039596022361
240_random_updated_link_graph_8,235,39,3.0528077880678026,1251,397,193,1841,0.012990671438586393
240_random_updated_link_graph_8,235,40,2.8744702979002015,997,469,375,1841,0.012231788501702985
240_random_updated_link_graph_8,235,41,2.846556405725418,1447,138,256,1841,0.012113005981810289
240_random_updated_link_graph_8,235,42,2.6898878586205424,932,507,402,1841,0.011446331313278903
240_random_updated_link_graph_8,235,43,2.091826741596426,1042,338,461,1841,0.008901390389772024
240_random_updated_link_graph_8,235,44,1.4106390984247266,871,587,383,1841,0.006002719567764794
240_random_updated_link_graph_8,235,45,2.492316973828822,639,637,565,1841,0.010605604143952433
240_random_updated_link_graph_8,235,46,3.0007518618690012,1357,213,271,1841,0.012769156859017026
240_random_updated_link_graph_8,235,47,1.8586384818675197,885,604,352,1841,0.00790909992284051
240_random_updated_link_graph_8,235,48,2.4621492018241087,835,634,372,1841,0.010477230646060038
240_random_updated_link_graph_8,235,49,1.208718832779812,604,838,399,1841,0.00514348439480771
240_random_updated_link_graph_8,235,50,2.8389408399379823,870,432,539,1841,0.01208059931888503
240_random_updated_link_graph_8,235,51,1.7345854591878354,458,1119,264,1841,0.007381214719948235
240_random_updated_link_graph_8,235,52,2.224384289419279,1255,240,346,1841,0.009465465061358634
240_random_updated_link_graph_8,235,53,1.6772096046236187,619,902,320,1841,0.007137062147334548
240_random_updated_link_graph_8,235,54,2.822006939355997,1362,232,247,1841,0.012008540167472328
240_random_updated_link_graph_8,235,55,0.981249857831936,447,1081,313,1841,0.004175531309923132
240_random_updated_link_graph_8,235,56,2.4323831592639413,1051,285,505,1841,0.010350566635165709
240_random_updated_link_graph_8,235,57,2.0764490281781494,976,534,331,1841,0.00883595331139638
240_random_updated_link_graph_8,235,58,2.3218241631347127,1097,301,443,1841,0.009880102821849842
240_random_updated_link_graph_8,235,59,2.1603962148164326,988,469,384,1841,0.009193175382197586
240_random_updated_link_graph_8,235,60,2.2856384007103374,1051,487,303,1841,0.009726120854086542
240_random_updated_link_graph_8,235,61,3.5163374554960023,1176,407,258,1841,0.014963138108493626
240_random_updated_link_graph_8,235,62,2.726533888168096,1302,246,293,1841,0.011602271864545089
240_random_updated_link_graph_8,235,63,3.144680972512199,1406,175,260,1841,0.013381621159626378
240_random_updated_link_graph_8,235,64,2.8974669861023625,1375,212,254,1841,0.012329646749371755
240_random_updated_link_graph_8,235,65,3.6253278234896458,1050,515,276,1841,0.015426926908466579
240_random_updated_link_graph_8,235,66,1.6480718009141218,708,833,300,1841,0.007013071493251582
240_random_updated_link_graph_8,235,67,2.042515069767926,1241,232,368,1841,0.008691553488374153
240_random_updated_link_graph_8,235,68,3.093895434448828,1355,225,261,1841,0.01316551248701629
240_random_updated_link_graph_8,235,69,2.76673431955707,1394,194,253,1841,0.011773337530030086
240_random_updated_link_graph_8,235,70,1.5867135088580135,547,907,387,1841,0.006751972378119206
240_random_updated_link_graph_8,235,71,2.5870525442029777,1360,178,303,1841,0.01100873423065097
240_random_updated_link_graph_8,235,72,3.232852342269275,1319,266,256,1841,0.013756818477741595
240_random_updated_link_graph_8,235,73,3.4736810139786995,1289,282,270,1841,0.014781621336079572
240_random_updated_link_graph_8,235,74,3.098950127433236,1151,312,378,1841,0.013187021818864834
240_random_updated_link_graph_8,235,75,3.351300052277097,917,546,378,1841,0.01426085128628552
240_random_updated_link_graph_8,235,76,1.7244839784238735,1332,221,288,1841,0.007338229695420738
240_random_updated_link_graph_8,235,77,3.6490182452218414,1479,193,169,1841,0.015527737213709963
240_random_updated_link_graph_8,235,78,1.7621665328087206,1164,243,434,1841,0.007498580990675407
240_random_updated_link_graph_8,235,79,2.1885186560460097,1115,321,405,1841,0.009312845344876638
240_random_updated_link_graph_8,235,80,2.9376763310155924,1319,240,282,1841,0.012500750344747203
240_random_updated_link_graph_8,235,81,1.9031840837906335,890,510,441,1841,0.008098655675704823
240_random_updated_link_graph_8,235,82,1.5104783182985593,506,968,367,1841,0.006427567311908763
240_random_updated_link_graph_8,235,83,1.9499850158205239,756,677,408,1841,0.008297808577959675
240_random_updated_link_graph_8,235,84,2.657387032724306,1310,291,240,1841,0.011308029926486407
240_random_updated_link_graph_8,235,85,3.432720397511576,1199,282,360,1841,0.01460732084047479
240_random_updated_link_graph_8,235,86,2.159262646879776,1180,364,297,1841,0.00918835168885011
240_random_updated_link_graph_8,235,87,2.090382002977297,999,548,294,1841,0.008895242565860838
240_random_updated_link_graph_8,235,88,1.4506116668739055,938,584,319,1841,0.006172815603718747
240_random_updated_link_graph_8,235,89,1.2367514461378415,693,838,310,1841,0.005262772111224857
240_random_updated_link_graph_8,235,90,2.1878337707148066,1067,422,352,1841,0.009309930939211944
240_random_updated_link_graph_8,235,91,1.667061001635092,853,603,385,1841,0.007093876602702519
240_random_updated_link_graph_8,235,92,2.370965790810145,757,665,419,1841,0.010089216131107
240_random_updated_link_graph_8,235,93,2.5070887390580228,838,504,499,1841,0.010668462719395842
240_random_updated_link_graph_8,235,94,0.7027464310769719,557,954,330,1841,0.002990410345008391
240_random_updated_link_graph_8,235,95,3.3306354446220396,1345,259,237,1841,0.0141729167856257
240_random_updated_link_graph_8,235,96,1.338922677662827,672,772,397,1841,0.005697543309203519
