strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,ci_95,std_delta,avg_pages_up,avg_pages_down,efficiency,files_analyzed
High Candidates,Range_5-35,5,35,1000,1.5320414907176225,0.016439439708185146,0.2647860957230604,750.464,492.16,0.07660207453588112,10
Low Candidates,Range_5-35,5,35,1000,1.548508636038391,0.016517411387104323,0.26604196677490055,737.234,527.64,0.07742543180191955,10
Mixed Candidates,Range_5-35,5,35,1000,1.59202656844186,0.01645307149311312,0.2650056595994994,696.522,576.089,0.079601328422093,10
Random Candidates,Range_5-35,5,35,1000,1.4356585777155195,0.016463970485166485,0.2651812070393364,1038.994,319.091,0.07178292888577598,10
Folder Candidates,Range_5-35,5,35,1000,1.5169107017384043,0.01651565574630641,0.2660136890914378,1166.098,334.088,0.07584553508692021,10
High Candidates,Range_35-65,35,65,1000,2.1365621920121574,0.022734718264092027,0.36618263112187593,814.664,563.387,0.04273124384024315,10
Low Candidates,Range_35-65,35,65,1000,2.1540205631280425,0.02280739140289238,0.36735315986424566,808.773,586.36,0.04308041126256085,10
Mixed Candidates,Range_35-65,35,65,1000,2.1979982427360683,0.022760012441983123,0.36659003835273024,781.873,618.591,0.04395996485472137,10
Random Candidates,Range_35-65,35,65,1000,2.0425851805300055,0.022817975352600023,0.3675236329929023,1020.596,430.814,0.04085170361060011,10
Folder Candidates,Range_35-65,35,65,1000,2.1210372093818592,0.02310850499203903,0.3722031239174367,1123.515,419.868,0.04242074418763719,10
High Candidates,Range_65-95,65,95,1000,2.6423959478825765,0.030108646310845377,0.48495271406274654,820.762,654.379,0.033029949348532206,10
Low Candidates,Range_65-95,65,95,1000,2.6606709738285907,0.030160251724950574,0.48578391003789184,819.897,666.579,0.03325838717285738,10
Mixed Candidates,Range_65-95,65,95,1000,2.705299232652371,0.03011395988802447,0.4850382985705248,798.372,692.185,0.03381624040815463,10
Random Candidates,Range_65-95,65,95,1000,2.5512955327862246,0.030077731254450173,0.48445477269568954,967.205,545.31,0.03189119415982781,10
Folder Candidates,Range_65-95,65,95,1000,2.6337501500270903,0.030762869149385787,0.49549012374488566,1076.578,504.48,0.03292187687533863,10
