strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,ci_95,std_delta,avg_pages_up,avg_pages_down,efficiency,files_analyzed
Random Candidates,Range_5-35,5,35,1000,1.2483787510659305,1.4064074077147046,0.11068666347569212,1608.0,194.0,0.06241893755329653,2
High Candidates,Range_5-35,5,35,1000,1.3353861537022085,5.096591762990407,0.40111047072751094,1531.0,251.0,0.06676930768511043,2
Folder Candidates,Range_5-35,5,35,1000,1.153025467241462,0.23617788670955384,0.01858760279789673,1447.0,344.5,0.0576512733620731,2
Mixed Candidates,Range_5-35,5,35,1000,1.3672406026212247,2.2790665629314426,0.17936642846598783,1408.0,385.5,0.06836203013106124,2
Low Candidates,Range_5-35,5,35,1000,1.6276249257823052,5.209323238183457,0.4099826302378815,1363.5,430.0,0.08138124628911526,2
Random Candidates,Range_35-65,35,65,1000,1.792003915766861,1.429400385653157,0.11249625008439246,1744.5,84.0,0.03584007831533722,2
High Candidates,Range_35-65,35,65,1000,1.8765021261134307,5.131089814328585,0.4038255262498939,1696.0,121.5,0.03753004252226862,2
Folder Candidates,Range_35-65,35,65,1000,1.6963501794292357,0.21357498180724355,0.016808715602926405,1605.5,210.5,0.03392700358858471,2
Mixed Candidates,Range_35-65,35,65,1000,1.9128979523094192,2.2712429350031695,0.17875069559448442,1614.0,210.0,0.03825795904618838,2
Low Candidates,Range_35-65,35,65,1000,2.172865514437428,5.307115649627193,0.41767905993284293,1583.0,240.5,0.04345731028874856,2
Random Candidates,Range_65-95,65,95,1000,2.3183536788064556,1.4450925964362853,0.11373125385685134,1789.5,40.5,0.028979420985080696,2
High Candidates,Range_65-95,65,95,1000,2.4005370525276386,5.168812980597771,0.40679440382204757,1755.0,77.0,0.030006713156595484,2
Folder Candidates,Range_65-95,65,95,1000,2.2211718793121373,0.21075131353040322,0.016586488090037044,1687.0,138.5,0.027764648491401717,2
Mixed Candidates,Range_65-95,65,95,1000,2.438275533023627,2.285908622049624,0.17990491019677268,1676.0,153.5,0.030478444162795337,2
Low Candidates,Range_65-95,65,95,1000,2.700491447849267,5.398521717358297,0.42487287347726177,1661.0,170.5,0.03375614309811584,2
