Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_folder_updated_link_graph_1,240,1,0.9658673941030318,551,992,298,1841,0.004024447475429299
240_folder_updated_link_graph_1,240,2,1.190257442751844,456,1136,249,1841,0.004959406011466017
240_folder_updated_link_graph_1,240,3,1.1042687241977058,610,999,232,1841,0.004601119684157108
240_folder_updated_link_graph_1,240,4,1.293725754957108,741,845,255,1841,0.00539052397898795
240_folder_updated_link_graph_1,240,5,1.1894379303041476,502,1101,238,1841,0.004955991376267282
240_folder_updated_link_graph_1,240,6,0.8908904612114518,303,1330,208,1841,0.003712043588381049
240_folder_updated_link_graph_1,240,7,1.5226517721037893,1145,403,293,1841,0.006344382383765789
240_folder_updated_link_graph_1,240,8,0.8572385137324278,374,1295,172,1841,0.0035718271405517825
240_folder_updated_link_graph_1,240,9,1.280824250622896,484,1123,234,1841,0.0053367677109287335
240_folder_updated_link_graph_1,240,10,0.37145701828574884,288,1429,124,1841,0.0015477375761906202
240_folder_updated_link_graph_1,240,11,0.5702623293987327,381,1249,211,1841,0.002376093039161386
240_folder_updated_link_graph_1,240,12,1.236611128623989,743,897,201,1841,0.005152546369266621
240_folder_updated_link_graph_1,240,13,0.9252438136073442,352,1293,196,1841,0.0038551825566972677
240_folder_updated_link_graph_1,240,14,1.2379242555948262,938,586,317,1841,0.005158017731645109
240_folder_updated_link_graph_1,240,15,1.0399048965449156,411,1244,186,1841,0.004332937068937148
240_folder_updated_link_graph_1,240,16,0.9307147736143514,386,1281,174,1841,0.0038779782233931306
240_folder_updated_link_graph_1,240,17,0.976811636487087,480,1121,240,1841,0.0040700484853628625
240_folder_updated_link_graph_1,240,18,1.324927491113973,694,791,356,1841,0.005520531212974887
240_folder_updated_link_graph_1,240,19,0.7170486190146622,318,1334,189,1841,0.002987702579227759
240_folder_updated_link_graph_1,240,20,1.2100858836119814,869,590,382,1841,0.005042024515049923
240_folder_updated_link_graph_1,240,21,0.793502557549572,351,1313,177,1841,0.00330626065645655
