Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_low_updated_link_graph_2,240,1,0.3242142882139683,423,1248,170,1841,0.0013508928675582013
240_low_updated_link_graph_2,240,2,0.4236260253112795,432,1230,179,1841,0.001765108438796998
240_low_updated_link_graph_2,240,3,0.5207887780060662,475,1187,179,1841,0.002169953241691942
240_low_updated_link_graph_2,240,4,0.5988002684032154,475,1141,225,1841,0.002495001118346731
240_low_updated_link_graph_2,240,5,0.49914690356203206,520,1142,179,1841,0.0020797787648418
240_low_updated_link_graph_2,240,6,0.1678470400568973,377,1370,94,1841,0.0006993626669037388
240_low_updated_link_graph_2,240,7,0.9431188683213,526,1040,275,1841,0.00392966195133875
240_low_updated_link_graph_2,240,8,0.20869920295963437,415,1341,85,1841,0.0008695800123318098
240_low_updated_link_graph_2,240,9,0.5168102163462561,455,1215,171,1841,0.0021533759014427337
240_low_updated_link_graph_2,240,10,-0.2976765249879185,383,1426,32,1841,-0.0012403188541163272
240_low_updated_link_graph_2,240,11,-0.07503636500295471,381,1422,38,1841,-0.00031265152084564466
240_low_updated_link_graph_2,240,12,0.44026782274162,485,1167,189,1841,0.0018344492614234167
240_low_updated_link_graph_2,240,13,0.2395762323494595,418,1340,83,1841,0.0009982343014560812
240_low_updated_link_graph_2,240,14,0.6165327433697443,446,1219,176,1841,0.002568886430707268
240_low_updated_link_graph_2,240,15,0.3369127881386616,404,1359,78,1841,0.00140380328391109
240_low_updated_link_graph_2,240,16,0.2649588773302599,401,1332,108,1841,0.0011039953222094162
240_low_updated_link_graph_2,240,17,0.32792433545739125,413,1307,121,1841,0.0013663513977391303
240_low_updated_link_graph_2,240,18,0.6710062490593022,466,1225,150,1841,0.002795859371080426
240_low_updated_link_graph_2,240,19,0.04622352255546453,371,1426,44,1841,0.00019259801064776887
240_low_updated_link_graph_2,240,20,0.5658509670867808,498,1073,270,1841,0.002357712362861587
240_low_updated_link_graph_2,240,21,0.11320455963826416,377,1395,69,1841,0.000471685665159434
240_low_updated_link_graph_2,240,22,0.46299213171195014,441,1253,147,1841,0.0019291338821331256
240_low_updated_link_graph_2,240,23,0.7109641024885383,498,1099,244,1841,0.002962350427035576
240_low_updated_link_graph_2,240,24,0.5028487509276315,430,1257,154,1841,0.002095203128865131
240_low_updated_link_graph_2,240,25,0.35528826470762603,421,1301,119,1841,0.0014803677696151084
240_low_updated_link_graph_2,240,26,0.3971382191299734,404,1294,143,1841,0.0016547425797082225
240_low_updated_link_graph_2,240,27,0.5482451793984766,479,1202,160,1841,0.002284354914160319
240_low_updated_link_graph_2,240,28,0.3217741695316002,440,1287,114,1841,0.0013407257063816674
240_low_updated_link_graph_2,240,29,0.2083021365406719,435,1299,107,1841,0.0008679255689194662
240_low_updated_link_graph_2,240,30,0.08629741720710654,387,1378,76,1841,0.00035957257169627724
240_low_updated_link_graph_2,240,31,0.4099343979575123,480,1217,144,1841,0.0017080599914896346
240_low_updated_link_graph_2,240,32,0.2731263303337148,417,1326,98,1841,0.0011380263763904783
240_low_updated_link_graph_2,240,33,0.08043045300481609,412,1381,48,1841,0.00033512688752006703
240_low_updated_link_graph_2,240,34,0.3834729069339113,480,1230,131,1841,0.001597803778891297
240_low_updated_link_graph_2,240,35,0.8852111625556485,498,1092,251,1841,0.0036883798439818686
240_low_updated_link_graph_2,240,36,0.3385462074898338,443,1244,154,1841,0.0014106091978743074
240_low_updated_link_graph_2,240,37,0.23857052244442725,389,1335,117,1841,0.000994043843518447
240_low_updated_link_graph_2,240,38,0.3764724160643937,459,1251,131,1841,0.0015686350669349737
240_low_updated_link_graph_2,240,39,0.547991671159398,451,1238,152,1841,0.0022832986298308247
240_low_updated_link_graph_2,240,40,0.7707594049022637,465,1147,229,1841,0.0032114975204260987
240_low_updated_link_graph_2,240,41,0.7772148310491347,456,1189,196,1841,0.0032383951293713945
240_low_updated_link_graph_2,240,42,0.22020549647198234,407,1344,90,1841,0.0009175229019665931
240_low_updated_link_graph_2,240,43,0.12772878507200996,377,1384,80,1841,0.0005322032711333748
240_low_updated_link_graph_2,240,44,0.5795321950684523,452,1213,176,1841,0.0024147174794518847
240_low_updated_link_graph_2,240,45,0.25328885802662343,392,1388,61,1841,0.0010553702417775976
240_low_updated_link_graph_2,240,46,0.6531353766489456,432,1249,160,1841,0.00272139740270394
240_low_updated_link_graph_2,240,47,0.0858905599854662,419,1324,98,1841,0.00035787733327277585
240_low_updated_link_graph_2,240,48,-0.18296098420353485,377,1424,40,1841,-0.0007623374341813952
240_low_updated_link_graph_2,240,49,-0.12623543059362766,428,1347,66,1841,-0.0005259809608067819
240_low_updated_link_graph_2,240,50,0.5993440437112632,430,1293,118,1841,0.0024972668487969296
240_low_updated_link_graph_2,240,51,0.2555154722824702,460,1283,98,1841,0.0010646478011769591
240_low_updated_link_graph_2,240,52,0.9002396907295394,486,1135,220,1841,0.003750998711373081
240_low_updated_link_graph_2,240,53,-0.22341805583170857,381,1426,34,1841,-0.0009309085659654524
240_low_updated_link_graph_2,240,54,-0.1640133340802995,353,1452,36,1841,-0.0006833888920012479
240_low_updated_link_graph_2,240,55,-0.023901061322693564,421,1353,67,1841,-9.958775551122318e-05
240_low_updated_link_graph_2,240,56,0.48659316621871684,447,1305,89,1841,0.00202747152591132
240_low_updated_link_graph_2,240,57,0.05597869441088344,424,1297,120,1841,0.00023324456004534768
240_low_updated_link_graph_2,240,58,0.2681838312791514,387,1328,126,1841,0.0011174326303297975
240_low_updated_link_graph_2,240,59,0.5793476004645917,437,1237,167,1841,0.002413948335269132
240_low_updated_link_graph_2,240,60,0.09922503369255593,392,1389,60,1841,0.00041343764038564973
240_low_updated_link_graph_2,240,61,0.41177432478444903,417,1261,163,1841,0.0017157263532685376
240_low_updated_link_graph_2,240,62,0.5887241049250419,446,1220,175,1841,0.0024530171038543414
240_low_updated_link_graph_2,240,63,0.6703266000793884,463,1147,231,1841,0.002793027500330785
240_low_updated_link_graph_2,240,64,0.3933661128595994,426,1241,174,1841,0.0016390254702483308
240_low_updated_link_graph_2,240,65,0.20224373585893018,395,1338,108,1841,0.0008426822327455424
240_low_updated_link_graph_2,240,66,0.03959539761290254,412,1371,58,1841,0.00016498082338709392
240_low_updated_link_graph_2,240,67,0.4970522577889758,387,1388,66,1841,0.0020710510741207325
240_low_updated_link_graph_2,240,68,0.6613511507134643,444,1196,201,1841,0.0027556297946394344
240_low_updated_link_graph_2,240,69,0.5048021561375877,416,1235,190,1841,0.002103342317239949
240_low_updated_link_graph_2,240,70,0.21107161096044286,421,1333,87,1841,0.0008794650456685119
240_low_updated_link_graph_2,240,71,0.8583184492562095,532,992,317,1841,0.003576326871900873
240_low_updated_link_graph_2,240,72,0.7600060307608485,474,1155,212,1841,0.0031666917948368688
240_low_updated_link_graph_2,240,73,0.7099655604302121,489,1176,176,1841,0.0029581898351258838
240_low_updated_link_graph_2,240,74,0.5107940412079821,472,1188,181,1841,0.002128308505033259
240_low_updated_link_graph_2,240,75,0.31152327999675067,450,1253,138,1841,0.0012980136666531279
240_low_updated_link_graph_2,240,76,0.21011717916421785,400,1385,56,1841,0.0008754882465175744
240_low_updated_link_graph_2,240,77,0.3330836080600608,385,1341,115,1841,0.0013878483669169201
240_low_updated_link_graph_2,240,78,0.7389051475093915,483,1145,213,1841,0.003078771447955798
240_low_updated_link_graph_2,240,79,0.6231588101053389,441,1209,191,1841,0.002596495042105579
240_low_updated_link_graph_2,240,80,0.8234653754200092,504,1084,253,1841,0.003431105730916705
240_low_updated_link_graph_2,240,81,0.27163294947701,396,1357,88,1841,0.0011318039561542083
240_low_updated_link_graph_2,240,82,-0.09997918476847094,365,1437,39,1841,-0.0004165799365352956
240_low_updated_link_graph_2,240,83,0.2907955289266613,407,1355,79,1841,0.0012116480371944219
240_low_updated_link_graph_2,240,84,-0.08343343891544526,381,1427,33,1841,-0.00034763932881435526
240_low_updated_link_graph_2,240,85,0.8827853272466073,493,1119,229,1841,0.0036782721968608638
240_low_updated_link_graph_2,240,86,0.32269595556279634,399,1354,88,1841,0.0013445664815116515
240_low_updated_link_graph_2,240,87,0.010983009027340646,375,1413,53,1841,4.576253761391936e-05
240_low_updated_link_graph_2,240,88,0.3838709793464279,417,1227,197,1841,0.0015994624139434495
240_low_updated_link_graph_2,240,89,0.46198534793889573,488,1161,192,1841,0.0019249389497453988
240_low_updated_link_graph_2,240,90,0.4026340627963781,429,1304,108,1841,0.001677641928318242
240_low_updated_link_graph_2,240,91,0.7429108351641099,507,1069,265,1841,0.0030954618131837914
240_low_updated_link_graph_2,240,92,0.2952894061947894,394,1328,119,1841,0.0012303725258116225
240_low_updated_link_graph_2,240,93,0.506205570192343,414,1292,135,1841,0.0021091898758014292
240_low_updated_link_graph_2,240,94,-0.02655055829355017,384,1388,69,1841,-0.0001106273262231257
240_low_updated_link_graph_2,240,95,0.582292020275642,422,1286,133,1841,0.002426216751148508
240_low_updated_link_graph_2,240,96,0.08290754472851218,420,1299,122,1841,0.0003454481030354674
240_low_updated_link_graph_2,240,97,0.3595980846091411,439,1339,63,1841,0.001498325352538088
240_low_updated_link_graph_2,240,98,0.214351199043306,398,1353,90,1841,0.0008931299960137749
240_low_updated_link_graph_2,240,99,0.39006833343039216,422,1280,139,1841,0.001625284722626634
240_low_updated_link_graph_2,240,100,0.5003484345767346,457,1260,124,1841,0.0020847851440697275
240_low_updated_link_graph_2,240,101,0.06821674134863409,380,1392,69,1841,0.0002842364222859754
240_low_updated_link_graph_2,240,102,0.4767557390651216,459,1211,171,1841,0.0019864822461046735
240_low_updated_link_graph_2,240,103,0.4855202037732208,423,1263,155,1841,0.0020230008490550867
240_low_updated_link_graph_2,240,104,0.028261742266768475,369,1444,28,1841,0.00011775725944486864
240_low_updated_link_graph_2,240,105,0.2004673105733906,406,1389,46,1841,0.0008352804607224608
240_low_updated_link_graph_2,240,106,-0.05186071369130247,379,1427,35,1841,-0.00021608630704709363
240_low_updated_link_graph_2,240,107,0.2217235111953885,433,1283,125,1841,0.0009238479633141187
240_low_updated_link_graph_2,240,108,0.5579786027878223,448,1223,170,1841,0.0023249108449492598
240_low_updated_link_graph_2,240,109,0.4720353845045787,409,1276,156,1841,0.0019668141021024115
240_low_updated_link_graph_2,240,110,-0.10135396845656888,365,1431,45,1841,-0.00042230820190237035
240_low_updated_link_graph_2,240,111,-0.020900766935121128,406,1387,48,1841,-8.708652889633803e-05
240_low_updated_link_graph_2,240,112,0.34893153555380857,416,1344,81,1841,0.001453881398140869
240_low_updated_link_graph_2,240,113,0.6747512039675472,447,1256,138,1841,0.00281146334986478
240_low_updated_link_graph_2,240,114,0.6269303169017484,469,1201,171,1841,0.0026122096537572847
240_low_updated_link_graph_2,240,115,0.5594623220331698,446,1260,135,1841,0.002331093008471541
240_low_updated_link_graph_2,240,116,0.5375659180951584,448,1245,148,1841,0.00223985799206316
240_low_updated_link_graph_2,240,117,-0.17158362523364207,379,1405,57,1841,-0.000714931771806842
240_low_updated_link_graph_2,240,118,0.7075833160581829,485,1147,209,1841,0.0029482638169090955
