Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_mixed_updated_link_graph_2,240,1,0.47689230618882306,916,578,347,1841,0.001987051275786763
240_mixed_updated_link_graph_2,240,2,0.6558321455283268,676,865,300,1841,0.002732633939701362
240_mixed_updated_link_graph_2,240,3,0.5230459977801193,632,937,272,1841,0.0021793583240838302
240_mixed_updated_link_graph_2,240,4,0.8229925193180708,880,653,308,1841,0.0034291354971586283
240_mixed_updated_link_graph_2,240,5,0.6939686112268172,718,842,281,1841,0.0028915358801117385
240_mixed_updated_link_graph_2,240,6,0.3271977399567088,539,984,318,1841,0.0013633239164862867
240_mixed_updated_link_graph_2,240,7,1.0369402846509614,1274,339,228,1841,0.004320584519379006
240_mixed_updated_link_graph_2,240,8,0.3005374394300114,562,1057,222,1841,0.0012522393309583808
240_mixed_updated_link_graph_2,240,9,0.7404879309919408,784,772,285,1841,0.0030853663791330864
240_mixed_updated_link_graph_2,240,10,-0.09769747465586832,336,1289,216,1841,-0.00040707281106611804
240_mixed_updated_link_graph_2,240,11,0.07818285268158233,949,592,300,1841,0.0003257618861732597
240_mixed_updated_link_graph_2,240,12,0.7030985997736807,1004,581,256,1841,0.002929577499057003
240_mixed_updated_link_graph_2,240,13,0.4149437054653945,603,946,292,1841,0.0017289321061058104
240_mixed_updated_link_graph_2,240,14,0.7786197410758479,1037,518,286,1841,0.003244248921149366
240_mixed_updated_link_graph_2,240,15,0.5221598069530572,706,764,371,1841,0.0021756658623044048
240_mixed_updated_link_graph_2,240,16,0.5397468899654939,684,862,295,1841,0.0022489453748562246
240_mixed_updated_link_graph_2,240,17,0.5018899472423167,607,997,237,1841,0.002091208113509653
240_mixed_updated_link_graph_2,240,18,0.9208369863187301,1151,460,230,1841,0.003836820776328042
240_mixed_updated_link_graph_2,240,19,0.22515043194486933,601,938,302,1841,0.0009381267997702889
240_mixed_updated_link_graph_2,240,20,0.7850282098690775,1106,444,291,1841,0.0032709508744544896
240_mixed_updated_link_graph_2,240,21,0.3347119287798926,444,1119,278,1841,0.0013946330365828857
240_mixed_updated_link_graph_2,240,22,0.6430572451591595,671,866,304,1841,0.0026794051881631645
240_mixed_updated_link_graph_2,240,23,0.846849946331936,1115,421,305,1841,0.0035285414430497332
240_mixed_updated_link_graph_2,240,24,0.5857555557538225,881,676,284,1841,0.0024406481489742606
240_mixed_updated_link_graph_2,240,25,0.5496991470508055,534,979,328,1841,0.0022904131127116896
240_mixed_updated_link_graph_2,240,26,0.5734731984788235,713,786,342,1841,0.002389471660328431
240_mixed_updated_link_graph_2,240,27,0.7999037779460986,1083,497,261,1841,0.003332932408108744
240_mixed_updated_link_graph_2,240,28,0.6263564448892736,651,918,272,1841,0.0026098185203719732
240_mixed_updated_link_graph_2,240,29,0.3837217677423859,679,785,377,1841,0.001598840698926608
240_mixed_updated_link_graph_2,240,30,0.23901839217020543,634,939,268,1841,0.000995909967375856
240_mixed_updated_link_graph_2,240,31,0.6259051985321046,612,988,241,1841,0.0026079383272171026
240_mixed_updated_link_graph_2,240,32,0.502999727153559,601,940,300,1841,0.0020958321964731626
240_mixed_updated_link_graph_2,240,33,0.3349382736512303,592,950,299,1841,0.0013955761402134595
240_mixed_updated_link_graph_2,240,34,0.6172575138105212,684,882,275,1841,0.002571906307543838
240_mixed_updated_link_graph_2,240,35,0.9912150404215594,1239,370,232,1841,0.004130062668423164
240_mixed_updated_link_graph_2,240,36,0.5160082275076444,670,808,363,1841,0.002150034281281852
240_mixed_updated_link_graph_2,240,37,0.21715502234156855,728,777,336,1841,0.000904812593089869
240_mixed_updated_link_graph_2,240,38,0.5511610951763498,758,818,265,1841,0.002296504563234791
240_mixed_updated_link_graph_2,240,39,0.6820655965639443,1150,452,239,1841,0.002841939985683101
240_mixed_updated_link_graph_2,240,40,0.9277852592771456,1231,400,210,1841,0.0038657719136547734
240_mixed_updated_link_graph_2,240,41,0.9810299474063214,1146,446,249,1841,0.004087624780859673
240_mixed_updated_link_graph_2,240,42,0.3549442069199445,621,924,296,1841,0.0014789341954997688
240_mixed_updated_link_graph_2,240,43,0.32441325961182044,536,960,345,1841,0.0013517219150492518
240_mixed_updated_link_graph_2,240,44,0.8032184847576525,736,789,316,1841,0.0033467436864902185
240_mixed_updated_link_graph_2,240,45,0.5314475999945116,382,1249,210,1841,0.002214364999977132
240_mixed_updated_link_graph_2,240,46,0.9821619807927883,954,494,393,1841,0.004092341586636618
240_mixed_updated_link_graph_2,240,47,0.2823282772328967,540,1068,233,1841,0.0011763678218037364
240_mixed_updated_link_graph_2,240,48,-0.04838243088329132,438,1316,87,1841,-0.00020159346201371382
240_mixed_updated_link_graph_2,240,49,0.05977806290245148,698,842,301,1841,0.00024907526209354784
240_mixed_updated_link_graph_2,240,50,0.8316898952593933,676,928,237,1841,0.0034653745635808055
240_mixed_updated_link_graph_2,240,51,0.33899141745948186,672,940,229,1841,0.0014124642394145077
240_mixed_updated_link_graph_2,240,52,0.9925891226679441,1260,379,202,1841,0.004135788011116434
240_mixed_updated_link_graph_2,240,53,-0.05437994431195425,334,1369,138,1841,-0.00022658310129980937
240_mixed_updated_link_graph_2,240,54,0.006259041526303309,299,1336,206,1841,2.6079339692930454e-05
240_mixed_updated_link_graph_2,240,55,0.1723660288404901,493,1101,247,1841,0.0007181917868353754
240_mixed_updated_link_graph_2,240,56,0.5862100625672986,512,1103,226,1841,0.002442541927363744
240_mixed_updated_link_graph_2,240,57,0.2933896034685438,412,1204,225,1841,0.0012224566811189325
240_mixed_updated_link_graph_2,240,58,0.41842033538105955,606,949,286,1841,0.0017434180640877482
240_mixed_updated_link_graph_2,240,59,0.8407872813676519,934,574,333,1841,0.003503280339031883
240_mixed_updated_link_graph_2,240,60,0.36791683921465995,293,1393,155,1841,0.001532986830061083
240_mixed_updated_link_graph_2,240,61,0.5993652430973995,585,853,403,1841,0.0024973551795724976
240_mixed_updated_link_graph_2,240,62,0.8938818123738221,712,831,298,1841,0.0037245075515575923
240_mixed_updated_link_graph_2,240,63,0.8731196718162585,705,837,299,1841,0.0036379986325677438
240_mixed_updated_link_graph_2,240,64,0.5475664488229872,734,780,327,1841,0.00228152687009578
240_mixed_updated_link_graph_2,240,65,0.378763624406839,514,1137,190,1841,0.0015781817683618291
240_mixed_updated_link_graph_2,240,66,0.31402006785591274,511,1124,206,1841,0.0013084169493996363
240_mixed_updated_link_graph_2,240,67,0.7320069489411412,506,1056,279,1841,0.0030500289539214217
240_mixed_updated_link_graph_2,240,68,0.9932267141504465,978,491,372,1841,0.004138444642293527
240_mixed_updated_link_graph_2,240,69,0.6149544378926314,1168,415,258,1841,0.0025623101578859642
240_mixed_updated_link_graph_2,240,70,0.3928999048888036,647,890,304,1841,0.0016370829370366817
240_mixed_updated_link_graph_2,240,71,1.0218316464899997,1076,496,269,1841,0.004257631860374999
240_mixed_updated_link_graph_2,240,72,0.9186495482569763,682,863,296,1841,0.0038277064510707347
240_mixed_updated_link_graph_2,240,73,0.8342233356485476,902,623,316,1841,0.0034759305652022816
240_mixed_updated_link_graph_2,240,74,0.803415471112102,1147,427,267,1841,0.0033475644629670917
240_mixed_updated_link_graph_2,240,75,0.45341854542134996,785,793,263,1841,0.0018892439392556248
240_mixed_updated_link_graph_2,240,76,0.3291413909665392,543,1047,251,1841,0.0013714224623605801
240_mixed_updated_link_graph_2,240,77,0.4117168870044429,719,782,340,1841,0.001715487029185179
240_mixed_updated_link_graph_2,240,78,0.9002998110872321,780,759,302,1841,0.003751249212863467
240_mixed_updated_link_graph_2,240,79,0.825438206812015,633,919,289,1841,0.003439325861716729
240_mixed_updated_link_graph_2,240,80,1.059189191181759,1345,305,191,1841,0.004413288296590662
240_mixed_updated_link_graph_2,240,81,0.3083823001422679,966,567,308,1841,0.0012849262505927829
240_mixed_updated_link_graph_2,240,82,0.18354150900321603,314,1391,136,1841,0.0007647562875134001
240_mixed_updated_link_graph_2,240,83,0.4083379534305826,755,779,307,1841,0.0017014081392940942
240_mixed_updated_link_graph_2,240,84,0.14894559622869213,296,1383,162,1841,0.0006206066509528839
240_mixed_updated_link_graph_2,240,85,1.005498406349205,1245,382,214,1841,0.004189576693121687
240_mixed_updated_link_graph_2,240,86,0.4949717721335958,496,1160,185,1841,0.0020623823838899825
240_mixed_updated_link_graph_2,240,87,0.07856923333041943,433,1116,292,1841,0.0003273718055434143
240_mixed_updated_link_graph_2,240,88,0.6304907809154318,751,756,334,1841,0.0026270449204809656
240_mixed_updated_link_graph_2,240,89,0.7039364155881959,1073,504,264,1841,0.0029330683982841496
240_mixed_updated_link_graph_2,240,90,0.6372841019281439,419,1259,163,1841,0.0026553504247005997
240_mixed_updated_link_graph_2,240,91,0.9911064803221923,1007,561,273,1841,0.0041296103346758015
240_mixed_updated_link_graph_2,240,92,0.46834335058389376,741,746,354,1841,0.0019514306274328907
240_mixed_updated_link_graph_2,240,93,0.6587253492546715,742,734,365,1841,0.002744688955227798
