Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_random_updated_link_graph_2,239,1,0.8139531430075176,462,1361,18,1841,0.003405661686223923
240_random_updated_link_graph_2,239,2,0.9057739160043259,466,1350,25,1841,0.003789849020938602
240_random_updated_link_graph_2,239,3,1.0232943856255416,473,1336,32,1841,0.004281566467052475
240_random_updated_link_graph_2,239,4,1.0904018240459672,506,1308,27,1841,0.004562350728225804
240_random_updated_link_graph_2,239,5,0.9501370200519353,485,1326,30,1841,0.003975468703146173
240_random_updated_link_graph_2,239,6,0.6570235200369242,429,1390,22,1841,0.002749052385091733
240_random_updated_link_graph_2,239,7,1.429243614592581,520,1270,51,1841,0.005980098805826699
240_random_updated_link_graph_2,239,8,0.7014878582833084,434,1386,21,1841,0.0029350956413527547
240_random_updated_link_graph_2,239,9,1.0077276597003346,482,1328,31,1841,0.004216433722595543
240_random_updated_link_graph_2,239,10,0.1897845234321267,424,1404,13,1841,0.0007940775039001118
240_random_updated_link_graph_2,239,11,0.41452029832564197,436,1389,16,1841,0.001734394553663774
240_random_updated_link_graph_2,239,12,0.9338483452716575,506,1300,35,1841,0.003907315252182668
240_random_updated_link_graph_2,239,13,0.727322398721697,459,1369,13,1841,0.0030431899528104477
240_random_updated_link_graph_2,239,14,1.0936025974926864,468,1343,30,1841,0.004575743085743458
240_random_updated_link_graph_2,239,15,0.81945283092498,448,1370,23,1841,0.0034286729327405023
240_random_updated_link_graph_2,239,16,0.7683245478999634,453,1371,17,1841,0.0032147470623429433
240_random_updated_link_graph_2,239,17,0.8230157388916798,441,1372,28,1841,0.003443580497454727
240_random_updated_link_graph_2,239,18,1.1692013056362303,488,1325,28,1841,0.004892055672118118
240_random_updated_link_graph_2,239,19,0.5360391004194258,427,1395,19,1841,0.002242841424349062
240_random_updated_link_graph_2,239,20,1.0562043061489657,496,1290,55,1841,0.004419264879284375
240_random_updated_link_graph_2,239,21,0.6036275777742232,431,1388,22,1841,0.002525638400728967
240_random_updated_link_graph_2,239,22,0.946261861457004,468,1349,24,1841,0.003959254650447715
240_random_updated_link_graph_2,239,23,1.2026567257190253,497,1299,45,1841,0.005032036509284624
240_random_updated_link_graph_2,239,24,0.9893836621894672,466,1348,27,1841,0.004139680594935009
240_random_updated_link_graph_2,239,25,0.8516130132046811,455,1357,29,1841,0.0035632343648731427
240_random_updated_link_graph_2,239,26,0.8864097406314592,451,1371,19,1841,0.003708827366658825
240_random_updated_link_graph_2,239,27,1.038039423311189,487,1322,32,1841,0.004343261185402464
240_random_updated_link_graph_2,239,28,0.8163230289380565,461,1353,27,1841,0.003415577526937475
240_random_updated_link_graph_2,239,29,0.6972457037635645,448,1371,22,1841,0.0029173460408517347
240_random_updated_link_graph_2,239,30,0.576086014717467,436,1387,18,1841,0.002410401735219527
240_random_updated_link_graph_2,239,31,0.8989786310385232,487,1329,25,1841,0.003761416866269971
240_random_updated_link_graph_2,239,32,0.7627791394600937,447,1374,20,1841,0.0031915445165694297
240_random_updated_link_graph_2,239,33,0.5701208760010835,448,1376,17,1841,0.0023854429958204333
240_random_updated_link_graph_2,239,34,0.8831356273643288,479,1334,28,1841,0.003695128147967903
240_random_updated_link_graph_2,239,35,1.375031552782272,503,1293,45,1841,0.005753270095323314
240_random_updated_link_graph_2,239,36,0.8289346157447373,463,1354,24,1841,0.0034683456725721224
240_random_updated_link_graph_2,239,37,0.7224812509516402,427,1394,20,1841,0.003022934104400168
240_random_updated_link_graph_2,239,38,0.8753334584737711,472,1337,32,1841,0.0036624830898484145
240_random_updated_link_graph_2,239,39,1.0415009494944025,467,1348,26,1841,0.004357744558553985
240_random_updated_link_graph_2,239,40,1.2603126809235634,481,1335,25,1841,0.005273274815579763
240_random_updated_link_graph_2,239,41,1.2578793480339696,488,1335,18,1841,0.005263093506418283
240_random_updated_link_graph_2,239,42,0.720987720836129,446,1376,19,1841,0.0030166850244189502
240_random_updated_link_graph_2,239,43,0.6170619184352208,430,1385,26,1841,0.0025818490311097105
240_random_updated_link_graph_2,239,44,1.0700311635229274,469,1338,34,1841,0.0044771178390080645
240_random_updated_link_graph_2,239,45,0.7331050180378591,440,1381,20,1841,0.0030673850127107077
240_random_updated_link_graph_2,239,46,1.1425290897718032,466,1349,26,1841,0.004780456442559846
240_random_updated_link_graph_2,239,47,0.5808915552039111,446,1383,12,1841,0.0024305085991795446
240_random_updated_link_graph_2,239,48,0.2932805251791161,428,1395,18,1841,0.0012271151681134565
240_random_updated_link_graph_2,239,49,0.36346850299137484,437,1385,19,1841,0.001520788715445083
240_random_updated_link_graph_2,239,50,1.1064978957387048,473,1347,21,1841,0.004629698308530146
240_random_updated_link_graph_2,239,51,0.7452460256412172,468,1344,29,1841,0.0031181842077038376
240_random_updated_link_graph_2,239,52,1.399855155923418,495,1305,41,1841,0.005857134543612628
240_random_updated_link_graph_2,239,53,0.2624432074509384,421,1401,19,1841,0.001098088734104345
240_random_updated_link_graph_2,239,54,0.32232443364364527,409,1411,21,1841,0.001348637797672156
240_random_updated_link_graph_2,239,55,0.4647526937463808,433,1382,26,1841,0.0019445719403614259
240_random_updated_link_graph_2,239,56,0.9793046324692898,467,1354,20,1841,0.004097508922465648
240_random_updated_link_graph_2,239,57,0.5342673990011604,439,1380,22,1841,0.0022354284477036
240_random_updated_link_graph_2,239,58,0.7575670478839024,439,1387,15,1841,0.003169736602024696
240_random_updated_link_graph_2,239,59,1.0673407007224798,465,1351,25,1841,0.004465860672478995
240_random_updated_link_graph_2,239,60,0.5899131958342515,428,1393,20,1841,0.0024682560495156965
240_random_updated_link_graph_2,239,61,0.9048451773121489,452,1363,26,1841,0.0037859630849880707
240_random_updated_link_graph_2,239,62,1.0937750027205932,474,1335,32,1841,0.004576464446529679
240_random_updated_link_graph_2,239,63,1.1659105268233105,496,1300,45,1841,0.004878286723110086
240_random_updated_link_graph_2,239,64,0.8806323127531865,444,1374,23,1841,0.0036846540282560107
240_random_updated_link_graph_2,239,65,0.6900464283677106,440,1386,15,1841,0.002887223549655693
240_random_updated_link_graph_2,239,66,0.5319137035113672,446,1370,25,1841,0.0022255803494199465
240_random_updated_link_graph_2,239,67,1.0018677608808124,436,1385,20,1841,0.004191915317492939
240_random_updated_link_graph_2,239,68,1.158527850845526,473,1331,37,1841,0.004847396865462451
240_random_updated_link_graph_2,239,69,1.0011887632765768,453,1366,22,1841,0.004189074323332958
240_random_updated_link_graph_2,239,70,0.7031321214635176,452,1364,25,1841,0.0029419754036130443
240_random_updated_link_graph_2,239,71,1.349245089543693,533,1257,51,1841,0.00564537694369746
240_random_updated_link_graph_2,239,72,1.255518639313773,492,1306,43,1841,0.005253216064074364
240_random_updated_link_graph_2,239,73,1.2050325480569088,495,1314,32,1841,0.005041977188522631
240_random_updated_link_graph_2,239,74,1.0040912124227166,502,1308,31,1841,0.004201218462019735
240_random_updated_link_graph_2,239,75,0.7907356936631426,465,1353,23,1841,0.0033085175467077095
240_random_updated_link_graph_2,239,76,0.6934864913839239,441,1385,15,1841,0.002901617118761188
240_random_updated_link_graph_2,239,77,0.8224351132586167,441,1381,19,1841,0.0034411511015004885
240_random_updated_link_graph_2,239,78,1.2344944605786896,485,1311,45,1841,0.005165248789032174
240_random_updated_link_graph_2,239,79,1.1082189785899441,466,1354,21,1841,0.004636899492008135
240_random_updated_link_graph_2,239,80,1.3157211367896702,501,1297,43,1841,0.005505109358952595
240_random_updated_link_graph_2,239,81,0.7471310788247414,442,1376,23,1841,0.0031260714595177466
240_random_updated_link_graph_2,239,82,0.3908972557649387,426,1395,20,1841,0.0016355533714014173
