Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_folder_updated_link_graph_1,240,1,1.8818904108773935,1094,491,256,1841,0.007841210045322473
240_folder_updated_link_graph_1,240,2,1.7590717828018403,1204,407,230,1841,0.007329465761674334
240_folder_updated_link_graph_1,240,3,1.1404687110558815,511,1102,228,1841,0.00475195296273284
240_folder_updated_link_graph_1,240,4,1.8460276823383126,1230,396,215,1841,0.007691782009742969
240_folder_updated_link_graph_1,240,5,1.026614687411717,456,1177,208,1841,0.004277561197548821
240_folder_updated_link_graph_1,240,6,1.8310263578368098,919,608,314,1841,0.007629276490986708
240_folder_updated_link_graph_1,240,7,1.4630399557327747,737,822,282,1841,0.006095999815553228
240_folder_updated_link_graph_1,240,8,1.3524253639738233,838,737,266,1841,0.005635105683224264
240_folder_updated_link_graph_1,240,9,0.9225022479984919,424,1190,227,1841,0.003843759366660383
240_folder_updated_link_graph_1,240,10,0.404214159298983,243,1529,69,1841,0.0016842256637457627
240_folder_updated_link_graph_1,240,11,0.6658430672661666,567,1057,217,1841,0.0027743461136090276
240_folder_updated_link_graph_1,240,12,0.36333486212242316,267,1508,66,1841,0.0015138952588434299
240_folder_updated_link_graph_1,240,13,0.7723391332549687,373,1270,198,1841,0.003218079721895703
240_folder_updated_link_graph_1,240,14,1.2129906974107434,404,1282,155,1841,0.005054127905878098
240_folder_updated_link_graph_1,240,15,0.9106642039646092,415,1241,185,1841,0.0037944341831858716
240_folder_updated_link_graph_1,240,16,0.6007140462255492,318,1386,137,1841,0.0025029751926064553
240_folder_updated_link_graph_1,240,17,1.3470740398090697,886,645,310,1841,0.005612808499204457
240_folder_updated_link_graph_1,240,18,0.8970217448282009,371,1305,165,1841,0.003737590603450837
240_folder_updated_link_graph_1,240,19,1.5547127661935647,691,923,227,1841,0.006477969859139853
240_folder_updated_link_graph_1,240,20,1.5590148219184123,1165,459,217,1841,0.006495895091326718
240_folder_updated_link_graph_1,240,21,1.2884455523249976,561,1103,177,1841,0.0053685231346874895
240_folder_updated_link_graph_1,240,22,1.6216817079847918,790,740,311,1841,0.0067570071166033
240_folder_updated_link_graph_1,240,23,0.8684659935102041,343,1305,193,1841,0.003618608306292517
240_folder_updated_link_graph_1,240,24,1.6168306054502486,476,1147,218,1841,0.006736794189376036
