Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_high_updated_link_graph_1,240,1,1.4996202310443687,1136,470,235,1841,0.006248417629351536
240_high_updated_link_graph_1,240,2,1.353935671735908,1043,543,255,1841,0.00564139863223295
240_high_updated_link_graph_1,240,3,0.8671741785102185,457,1196,188,1841,0.003613225743792577
240_high_updated_link_graph_1,240,4,1.6428455745405286,788,553,500,1841,0.006845189893918869
240_high_updated_link_graph_1,240,5,0.6702680208640985,561,1044,236,1841,0.0027927834202670773
240_high_updated_link_graph_1,240,6,1.3642500972035865,1106,486,249,1841,0.005684375405014944
240_high_updated_link_graph_1,240,7,1.003445619121231,964,571,306,1841,0.00418102341300513
240_high_updated_link_graph_1,240,8,0.8979125756511029,879,685,277,1841,0.003741302398546262
240_high_updated_link_graph_1,240,9,0.7274965213067481,390,1250,201,1841,0.003031235505444784
240_high_updated_link_graph_1,240,10,0.03733911493927357,266,1521,54,1841,0.00015557964558030653
240_high_updated_link_graph_1,240,11,0.3459625677196065,388,1304,149,1841,0.0014415106988316937
240_high_updated_link_graph_1,240,12,-0.05744508751612356,289,1469,83,1841,-0.0002393545313171815
240_high_updated_link_graph_1,240,13,0.27771348964416,587,1046,208,1841,0.001157139540184
240_high_updated_link_graph_1,240,14,0.7821901848644306,432,1211,198,1841,0.003259125770268461
240_high_updated_link_graph_1,240,15,0.5028275886403143,416,1252,173,1841,0.002095114952667976
240_high_updated_link_graph_1,240,16,0.2626576197457903,295,1436,110,1841,0.001094406748940793
240_high_updated_link_graph_1,240,17,0.8262217947171135,1096,492,253,1841,0.0034425908113213063
240_high_updated_link_graph_1,240,18,0.5789317564569334,445,1187,209,1841,0.002412215651903889
240_high_updated_link_graph_1,240,19,1.3538539576371404,541,1079,221,1841,0.005641058156821419
240_high_updated_link_graph_1,240,20,1.0978051514942282,1100,532,209,1841,0.004574188131225951
240_high_updated_link_graph_1,240,21,0.8335653701979123,590,1083,168,1841,0.0034731890424913015
240_high_updated_link_graph_1,240,22,1.2908515481632814,807,769,265,1841,0.005378548117347006
