Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_low_updated_link_graph_2,240,1,1.3970074368268148,708,917,216,1841,0.005820864320111728
240_low_updated_link_graph_2,240,2,1.2380734520157528,605,1043,193,1841,0.00515863938339897
240_low_updated_link_graph_2,240,3,0.757998843731469,525,1243,73,1841,0.0031583285155477874
240_low_updated_link_graph_2,240,4,1.5558402893113081,622,987,232,1841,0.0064826678721304504
240_low_updated_link_graph_2,240,5,0.5564202301326968,553,1136,152,1841,0.0023184176255529034
240_low_updated_link_graph_2,240,6,1.264465163002831,684,963,194,1841,0.005268604845845129
240_low_updated_link_graph_2,240,7,0.8967841075194787,564,1091,186,1841,0.0037366004479978277
240_low_updated_link_graph_2,240,8,0.7993435240877546,576,1074,191,1841,0.0033305980170323106
240_low_updated_link_graph_2,240,9,0.6036523890183442,460,1305,76,1841,0.002515218287576434
240_low_updated_link_graph_2,240,10,-0.08143504231064741,241,1535,65,1841,-0.0003393126762943642
240_low_updated_link_graph_2,240,11,0.24878962662462203,488,1284,69,1841,0.0010366234442692585
240_low_updated_link_graph_2,240,12,-0.16950492421365426,417,1387,37,1841,-0.0007062705175568928
240_low_updated_link_graph_2,240,13,0.18563993868242462,461,1294,86,1841,0.0007734997445101026
240_low_updated_link_graph_2,240,14,0.6835780338238835,503,1241,97,1841,0.0028482418075995147
240_low_updated_link_graph_2,240,15,0.3882563715301126,501,1249,91,1841,0.0016177348813754691
240_low_updated_link_graph_2,240,16,0.15698419820460738,434,1353,54,1841,0.0006541008258525307
240_low_updated_link_graph_2,240,17,0.7187020290215412,625,970,246,1841,0.002994591787589755
240_low_updated_link_graph_2,240,18,0.46786253178919707,495,1231,115,1841,0.0019494272157883211
240_low_updated_link_graph_2,240,19,1.2658339722349345,562,1145,134,1841,0.0052743082176455605
240_low_updated_link_graph_2,240,20,0.9906756464470455,666,904,271,1841,0.0041278151935293566
240_low_updated_link_graph_2,240,21,0.716867731443869,498,1282,61,1841,0.0029869488810161204
240_low_updated_link_graph_2,240,22,1.182235900670665,561,1135,145,1841,0.004925982919461104
240_low_updated_link_graph_2,240,23,0.3908934843756029,444,1307,90,1841,0.001628722851565012
240_low_updated_link_graph_2,240,24,1.1446599806275006,531,1196,114,1841,0.004769416585947919
240_low_updated_link_graph_2,240,25,0.2655261750737932,487,1257,97,1841,0.0011063590628074718
240_low_updated_link_graph_2,240,26,1.261593526836423,718,879,244,1841,0.005256639695151762
240_low_updated_link_graph_2,240,27,0.6695214665176297,494,1268,79,1841,0.0027896727771567903
240_low_updated_link_graph_2,240,28,0.4489066919964652,526,1195,120,1841,0.0018704445499852717
240_low_updated_link_graph_2,240,29,0.20591810475135647,407,1398,36,1841,0.0008579921031306519
240_low_updated_link_graph_2,240,30,1.0731753998637055,539,1138,164,1841,0.004471564166098773
240_low_updated_link_graph_2,240,31,0.6474015500856507,515,1203,123,1841,0.0026975064586902114
240_low_updated_link_graph_2,240,32,0.10440625335613245,478,1290,73,1841,0.00043502605565055185
240_low_updated_link_graph_2,240,33,0.37147283151035393,500,1288,53,1841,0.0015478034646264746
240_low_updated_link_graph_2,240,34,0.13485945877348882,503,1261,77,1841,0.0005619144115562035
240_low_updated_link_graph_2,240,35,0.9239803491427293,609,963,269,1841,0.003849918121428039
240_low_updated_link_graph_2,240,36,0.044128692922189613,470,1297,74,1841,0.00018386955384245673
240_low_updated_link_graph_2,240,37,1.4047011632570787,1027,523,291,1841,0.005852921513571161
240_low_updated_link_graph_2,240,38,0.5996401717475948,568,1152,121,1841,0.002498500715614978
240_low_updated_link_graph_2,240,39,0.7044599320119526,566,1076,199,1841,0.002935249716716469
240_low_updated_link_graph_2,240,40,1.2909378635193594,612,985,244,1841,0.0053789077646639975
240_low_updated_link_graph_2,240,41,0.5215745845518349,549,1119,173,1841,0.0021732274356326456
240_low_updated_link_graph_2,240,42,0.5412049875789466,498,1276,67,1841,0.0022550207815789443
240_low_updated_link_graph_2,240,43,0.1894642922060417,467,1292,82,1841,0.000789434550858507
240_low_updated_link_graph_2,240,44,0.8345264072068094,533,1217,91,1841,0.0034771933633617057
240_low_updated_link_graph_2,240,45,1.0676136630574307,571,1124,146,1841,0.004448390262739295
240_low_updated_link_graph_2,240,46,0.9571236203171144,532,1170,139,1841,0.003988015084654644
240_low_updated_link_graph_2,240,47,1.0180542099163965,557,1121,163,1841,0.004241892541318319
240_low_updated_link_graph_2,240,48,1.0851877433145738,591,1116,134,1841,0.004521615597144058
240_low_updated_link_graph_2,240,49,0.06066763789887136,477,1298,66,1841,0.0002527818245786307
240_low_updated_link_graph_2,240,50,1.1652979793122413,671,953,217,1841,0.0048554082471343385
240_low_updated_link_graph_2,240,51,0.24032585546567878,490,1308,43,1841,0.0010013577311069949
240_low_updated_link_graph_2,240,52,0.8384744443882932,548,1090,203,1841,0.003493643518284555
240_low_updated_link_graph_2,240,53,0.41008864291010955,453,1329,59,1841,0.001708702678792123
240_low_updated_link_graph_2,240,54,0.9049868534406109,630,1042,169,1841,0.0037707785560025455
240_low_updated_link_graph_2,240,55,0.1092482657394833,432,1372,37,1841,0.0004552011072478471
240_low_updated_link_graph_2,240,56,0.9473189877427068,541,1191,109,1841,0.003947162448927945
240_low_updated_link_graph_2,240,57,0.5112458992180045,522,1232,87,1841,0.0021301912467416853
240_low_updated_link_graph_2,240,58,0.6526604283166665,475,1218,148,1841,0.0027194184513194435
240_low_updated_link_graph_2,240,59,0.6915380148437541,464,1272,105,1841,0.0028814083951823086
