Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_mixed_updated_link_graph_1,240,1,3.808539796594601,837,856,148,1841,0.01586891581914417
240_mixed_updated_link_graph_1,240,2,3.653514916569234,896,773,172,1841,0.015222978819038476
240_mixed_updated_link_graph_1,240,3,3.366104282729244,496,1296,49,1841,0.01402543451137185
240_mixed_updated_link_graph_1,240,4,4.185598766870501,574,1080,187,1841,0.01743999486196042
240_mixed_updated_link_graph_1,240,5,2.9136774519937663,546,1178,117,1841,0.012140322716640693
240_mixed_updated_link_graph_1,240,6,3.857771570436705,808,885,148,1841,0.016074048210152937
240_mixed_updated_link_graph_1,240,7,3.4930075648264833,549,1135,157,1841,0.014554198186777013
240_mixed_updated_link_graph_1,240,8,3.0567293056185725,655,1080,106,1841,0.012736372106744052
240_mixed_updated_link_graph_1,240,9,3.0295086307134196,463,1299,79,1841,0.012622952627972582
240_mixed_updated_link_graph_1,240,10,2.358026308804825,265,1564,12,1841,0.009825109620020105
240_mixed_updated_link_graph_1,240,11,2.6903508624733403,490,1262,89,1841,0.011209795260305584
240_mixed_updated_link_graph_1,240,12,2.0572966676547177,346,1455,40,1841,0.008572069448561323
240_mixed_updated_link_graph_1,240,13,2.7866162561385157,431,1344,66,1841,0.011610901067243816
240_mixed_updated_link_graph_1,240,14,3.005777692519516,502,1235,104,1841,0.012524073718831318
240_mixed_updated_link_graph_1,240,15,2.905841500908681,449,1313,79,1841,0.012107672920452837
240_mixed_updated_link_graph_1,240,16,2.427100430893763,362,1449,30,1841,0.010112918462057346
240_mixed_updated_link_graph_1,240,17,3.180110327784887,762,914,165,1841,0.013250459699103694
240_mixed_updated_link_graph_1,240,18,2.882649392627582,479,1235,127,1841,0.012011039135948257
240_mixed_updated_link_graph_1,240,19,3.566465538688133,512,1227,102,1841,0.014860273077867222
240_mixed_updated_link_graph_1,240,20,3.381329681773227,971,680,190,1841,0.014088873674055112
