Comparison_File,Links_Inserted_k,run_id,mu_r,u_r,d_r,n_r,total_pages,Per_Run_Authority_Yield
240_random_updated_link_graph_2,239,1,1.9077057176872028,626,1153,62,1841,0.007982032291578255
240_random_updated_link_graph_2,239,2,1.734083352235232,554,1241,46,1841,0.007255578879645322
240_random_updated_link_graph_2,239,3,1.2631565049443172,524,1286,31,1841,0.005285173660854884
240_random_updated_link_graph_2,239,4,2.095967600020709,585,1203,53,1841,0.00876973891222054
240_random_updated_link_graph_2,239,5,1.012350843982176,536,1263,42,1841,0.004235777589883582
240_random_updated_link_graph_2,239,6,1.763262324767056,613,1177,51,1841,0.007377666630824503
240_random_updated_link_graph_2,239,7,1.3876938389800155,538,1263,40,1841,0.00580625037230132
240_random_updated_link_graph_2,239,8,1.2829085705260084,529,1276,36,1841,0.0053678182867197
240_random_updated_link_graph_2,239,9,1.0742859544907049,485,1331,25,1841,0.004494920311676589
240_random_updated_link_graph_2,239,10,0.42792441239378476,440,1377,24,1841,0.0017904787129447062
240_random_updated_link_graph_2,239,11,0.7086967966702954,496,1315,30,1841,0.0029652585634740393
240_random_updated_link_graph_2,239,12,0.3168735060168602,443,1374,24,1841,0.0013258305691082016
240_random_updated_link_graph_2,239,13,0.7051460728982097,488,1337,16,1841,0.002950401978653597
240_random_updated_link_graph_2,239,14,1.1511237571271598,512,1307,22,1841,0.004816417393837489
240_random_updated_link_graph_2,239,15,0.879071536127674,498,1306,37,1841,0.003678123582124159
240_random_updated_link_graph_2,239,16,0.6508616040233892,468,1351,22,1841,0.0027232703097212936
240_random_updated_link_graph_2,239,17,1.2083617985690243,559,1225,57,1841,0.005055907106983365
240_random_updated_link_graph_2,239,18,0.9471395451280428,492,1322,27,1841,0.0039629269670629404
240_random_updated_link_graph_2,239,19,1.7505807161352205,532,1271,38,1841,0.007324605506841927
240_random_updated_link_graph_2,239,20,1.4828969359907604,569,1207,65,1841,0.00620458969033791
240_random_updated_link_graph_2,239,21,1.2128542783161034,508,1309,24,1841,0.0050747040933728175
240_random_updated_link_graph_2,239,22,1.667609730731498,551,1250,40,1841,0.006977446572098318
240_random_updated_link_graph_2,239,23,0.909372571668215,477,1342,22,1841,0.003804906157607594
240_random_updated_link_graph_2,239,24,1.631153131182066,529,1281,31,1841,0.006824908498669732
240_random_updated_link_graph_2,239,25,0.7477704335703543,492,1324,25,1841,0.003128746583976378
240_random_updated_link_graph_2,239,26,1.7443011236242998,585,1182,74,1841,0.007298331061189539
240_random_updated_link_graph_2,239,27,1.1449903368711754,520,1290,31,1841,0.0047907545475781394
240_random_updated_link_graph_2,239,28,0.919743038574564,530,1272,39,1841,0.0038482972325295565
240_random_updated_link_graph_2,239,29,0.7086723473032166,446,1372,23,1841,0.002965156264867015
240_random_updated_link_graph_2,239,30,1.5932297671585482,552,1239,50,1841,0.006666233335391415
240_random_updated_link_graph_2,239,31,1.166820824642092,529,1279,33,1841,0.004882095500594527
240_random_updated_link_graph_2,239,32,0.6023963502368898,485,1329,27,1841,0.0025204868210748524
240_random_updated_link_graph_2,239,33,0.8720609092161881,521,1300,20,1841,0.003648790415130494
240_random_updated_link_graph_2,239,34,0.6300000728450481,488,1318,35,1841,0.0026359835683893228
240_random_updated_link_graph_2,239,35,1.448976782314732,571,1217,53,1841,0.006062664361149506
