strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,ci_95,std_delta,avg_pages_up,avg_pages_down,efficiency,files_analyzed
High Candidates,Range_5-35,5,35,1000,1.6160794057890566,0.029333896509892522,0.4724740056275446,949.243,395.808,0.08080397028945283,2
Low Candidates,Range_5-35,5,35,1000,1.8926131648337488,0.02895939853986628,0.46644205702712555,628.4,824.365,0.09463065824168744,2
Mixed Candidates,Range_5-35,5,35,1000,1.6441963181614263,0.02053761590650992,0.3307944326494888,710.689,645.952,0.08220981590807132,2
Random Candidates,Range_5-35,5,35,1000,1.5540443284251018,0.018730918572262452,0.3016943938537347,1103.69,280.155,0.07770221642125509,2
Folder Candidates,Range_5-35,5,35,1000,1.436244058933064,0.017385239592077897,0.2800198666444985,1097.34,411.902,0.0718122029466532,2
High Candidates,Range_35-65,35,65,1000,2.2076197517351765,0.03379357782971004,0.5443050184725625,957.3,487.148,0.04415239503470353,2
Low Candidates,Range_35-65,35,65,1000,2.487642705472028,0.03365137539844804,0.5420145981635636,689.493,836.867,0.04975285410944056,2
Mixed Candidates,Range_35-65,35,65,1000,2.2355507726889496,0.026201363675595883,0.42201905377752996,773.63,678.355,0.04471101545377899,2
Random Candidates,Range_35-65,35,65,1000,2.147133421081944,0.02490036913936342,0.40106424814419017,1063.83,403.201,0.04294266842163888,2
Folder Candidates,Range_35-65,35,65,1000,2.026891892241435,0.02367048807678207,0.38125485010232735,1073.769,483.104,0.0405378378448287,2
High Candidates,Range_65-95,65,95,1000,2.7630895655580825,0.03865532740808293,0.6226120479146693,958.999,548.656,0.03453861956947603,2
Low Candidates,Range_65-95,65,95,1000,3.048298148055784,0.03867445661358357,0.6229201574201456,737.259,841.267,0.0381037268506973,2
Mixed Candidates,Range_65-95,65,95,1000,2.7939516643237807,0.03195497717739993,0.5146911206171099,811.183,707.899,0.034924395804047256,2
Random Candidates,Range_65-95,65,95,1000,2.704611176584458,0.030897697226881203,0.4976617671139771,1040.669,485.491,0.03380763970730573,2
Folder Candidates,Range_65-95,65,95,1000,2.5832803924829215,0.029973974356423756,0.4827835853304005,1058.949,535.584,0.03229100490603652,2
