strategy,range,min_connections,max_connections,total_simulations,mean_delta_pct,avg_pages_up,avg_pages_down,avg_pages_neutral,source,ci_95,std_delta
High Candidates,Range_5-35,5,35,1000,1.532041491,750.464,492.16,598.376,ba_automatic,,
Low Candidates,Range_5-35,5,35,1000,1.548508636,737.234,527.64,576.126,ba_automatic,,
Mixed Candidates,Range_5-35,5,35,1000,1.592026568,696.522,576.089,568.389,ba_automatic,,
Random Candidates,Range_5-35,5,35,1000,1.435658578,1038.994,319.091,482.915,ba_automatic,,
Folder Candidates,Range_5-35,5,35,1000,1.516910702,1166.098,334.088,340.814,ba_automatic,,
High Candidates,Range_35-65,35,65,1000,2.136562192,814.664,563.387,462.949,ba_automatic,,
Low Candidates,Range_35-65,35,65,1000,2.154020563,808.773,586.36,445.867,ba_automatic,,
Mixed Candidates,Range_35-65,35,65,1000,2.197998243,781.873,618.591,440.536,ba_automatic,,
Random Candidates,Range_35-65,35,65,1000,2.042585181,1020.596,430.814,389.59,ba_automatic,,
Folder Candidates,Range_35-65,35,65,1000,2.121037209,1123.515,419.868,297.617,ba_automatic,,
High Candidates,Range_65-95,65,95,1000,2.642395948,820.762,654.379,365.859,ba_automatic,,
Low Candidates,Range_65-95,65,95,1000,2.660670974,819.897,666.579,354.524,ba_automatic,,
Mixed Candidates,Range_65-95,65,95,1000,2.705299233,798.372,692.185,350.443,ba_automatic,,
Random Candidates,Range_65-95,65,95,1000,2.551295533,967.205,545.31,328.485,ba_automatic,,
Folder Candidates,Range_65-95,65,95,1000,2.63375015,1076.578,504.48,259.942,ba_automatic,,
Random Candidates,Range_5-35,5,35,1000,1.2483787510659303,1608.0,194.0,,ba_expert,1.4064074077147046,0.1106866634756921
High Candidates,Range_5-35,5,35,1000,1.3353861537022085,1531.0,251.0,,ba_expert,5.096591762990407,0.4011104707275109
Folder Candidates,Range_5-35,5,35,1000,1.153025467241462,1447.0,344.5,,ba_expert,0.2361778867095538,0.0185876027978967
